source name	characteristics[organism]	characteristics[disease]	characteristics[organism part]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell line]	characteristics[biological replicate]	characteristics[individual]	assay name	technology type	comment[proteomexchange accession number]	comment[file uri]	comment[instrument]	comment[technical replicate]	comment[fraction identifier]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]
Sample 1	homo sapiens	chronic myelogenous leukemia	blood	bone marrow	not available	not available	not available	not available	not available	K562	1	not applicable	run 1	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_A01_P0001134_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_A01_P0001134_B00_A00_R1.RAW
Sample 2	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	not available	not available	not available	not available	not available	EKVX	1	not applicable	run 2	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_B01_P0001135_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_B01_P0001135_B00_A00_R1.RAW
Sample 3	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	not available	not available	not available	not available	not available	HOP62	1	not applicable	run 3	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_C01_P0001136_B00_A00_R2.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_C01_P0001136_B00_A00_R2.RAW
Sample 4	homo sapiens	non-small cell lung carcinoma	lung	not available	not available	not available	not available	not available	not available	HOP92	1	not applicable	run 4	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_D01_P0001137_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_D01_P0001137_B00_A00_R1.RAW
Sample 5	homo sapiens	astrocytoma	brain	central nervous system	not available	not available	not available	not available	not available	SF268	1	not applicable	run 5	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000194_E01_P0001138_B00_A00_R2.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000194_E01_P0001138_B00_A00_R2.RAW
Sample 43	homo sapiens	adult acute myeloid leukemia	blood	bone marrow	not available	not available	not available	not available	not available	HL-60	1	not applicable	run 6	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_A02_P000698_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_A02_P000698_B00_A00_R1.RAW
Sample 44	homo sapiens	invasive ductal carcinoma	pleura	mammary gland	not available	not available	not available	not available	not available	T47D	1	not applicable	run 7	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_H01_P000699_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_H01_P000699_B00_A00_R1.RAW
Sample 45	homo sapiens	breast adenocarcinoma	breast	mammary gland	not available	not available	not available	not available	not available	MDAMB453	1	not applicable	run 8	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_G01_P000700_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_G01_P000700_B00_A00_R1.RAW
Sample 46	homo sapiens	lung adenocarcinoma	lung	epithelium of bronchiole	not available	not available	not available	not available	not available	A-549 cell	1	not applicable	run 9	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_F01_P000701_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_F01_P000701_B00_A00_R1.RAW
Sample 47	homo sapiens	invasive ductal carcinoma	breast	mammary gland	not available	not available	not available	not available	not available	HS578T	1	not applicable	run 10	proteomic profiling by mass spectrometry	PXD005942	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/03/PXD005942/000120_E01_P000702_B00_A00_R1.RAW	AC=MS:1000639;NT=LTQ Orbitrap XL ETD	1	1	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	AC=MS:1001251;NT=Trypsin	AC=MS:1002038;NT=label free sample	0.6 Da	20 ppm	000120_E01_P000702_B00_A00_R1.RAW
