#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[cell line]	characteristics[enrichment method]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]
sample 1 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120229_MLP_333188_ps109TiO2.raw	1	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 1 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120326_MLP_333188_Tio2ps109.raw	1	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 1 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120229_MLP_333188_ps108TiO2.raw	1	membrane	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 1 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120229_MLP_333188_ps109TiO2.raw	1	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 1 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120326_MLP_333188_Tio2ps109.raw	1	cytoplasm	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 1 cancer cells in monoculture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120229_MLP_333188_ps108TiO2.raw	1	membrane	SILAC medium	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 1 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120229_MLP_333188_ps109TiO2.raw	1	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 1 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120326_MLP_333188_Tio2ps109.raw	1	cytoplasm	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 1 endothelial cells in co-culture	homo sapiens	not applicable	endothelial	breast cancer	HUVEC	TIO2	1	enrichment of phosphorylated peptides	SILAC010	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120229_MLP_333188_ps108TiO2.raw	1	membrane	SILAC light	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
sample 2 cancer cells in co-culture	homo sapiens	not applicable	epithelial	breast cancer	MDAMB231 subpopulation LM2-4175	TIO2	1	enrichment of phosphorylated peptides	SILAC011	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	20120703_MLP_363211_TiO2ps125.raw	1	cytoplasm	SILAC heavy	NT=Trypsin	NT=Lys-C	LTQ Orbitrap Velos
