source name	characteristics[organism]	characteristics[organism part]	characteristics[compound]	characteristics[duration]	characteristics[age]	characteristics[cell type]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[fractionation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[organism part]
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 1	proteomic profiling by mass spectrometry	01747_A01_P018218_S00_I00_N01_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_A01_P018218_S00_I00_N01_R1.raw	1	1	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 2	proteomic profiling by mass spectrometry	01747_B01_P018218_S00_I00_N02_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_B01_P018218_S00_I00_N02_R1.raw	1	2	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 3	proteomic profiling by mass spectrometry	01747_C01_P018218_S00_I00_N03_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_C01_P018218_S00_I00_N03_R1.raw	1	3	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 4	proteomic profiling by mass spectrometry	01747_D01_P018218_S00_I00_N04_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_D01_P018218_S00_I00_N04_R1.raw	1	4	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 5	proteomic profiling by mass spectrometry	01747_E01_P018218_S00_I00_N05_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_E01_P018218_S00_I00_N05_R1.raw	1	5	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 6	proteomic profiling by mass spectrometry	01747_F01_P018218_S00_I00_N06_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_F01_P018218_S00_I00_N06_R1.raw	1	6	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 7	proteomic profiling by mass spectrometry	01747_G01_P018218_S00_I00_N07_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_G01_P018218_S00_I00_N07_R1.raw	1	7	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 8	proteomic profiling by mass spectrometry	01747_H01_P018218_S00_I00_N08_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_H01_P018218_S00_I00_N08_R1.raw	1	8	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 9	proteomic profiling by mass spectrometry	01747_A02_P018218_S00_I00_N09_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_A02_P018218_S00_I00_N09_R1.raw	1	9	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
Sample 1	Arabidopsis thaliana	seed	none	not applicable	6W	plant cell	no enrichment	1	normal	run 10	proteomic profiling by mass spectrometry	01747_B02_P018218_S00_I00_N10_R1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/01/PXD013868/01747_B02_P018218_S00_I00_N10_R1.raw	1	10	AC=MS:1002038;NT=label free sample	NT=Q Exactive HF;AC=MS:1002523	Strong anion-exchange chromatography (SAX)	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	not applicable	20 ppm	5 ppm	seed
