source name	characteristics[organism]	characteristics[organism part]	characteristics[cultivar]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[compound 2]	characteristics[time]	characteristics[biological replicate]	characteristics[enrichment process]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[compound 2]	factor value[time]
Sample 1	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	0 min	1	enrichment of phosphorylated Protein	cell	run 1	proteomic profiling by mass spectrometry	E12591_2p_EXT431_6085_HanChao_T0-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12591_2p_EXT431_6085_HanChao_T0-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	0 min
Sample 2	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	10 min	1	enrichment of phosphorylated Protein	cell	run 2	proteomic profiling by mass spectrometry	E12593_2p_EXT431_6085_HanChao_T10-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12593_2p_EXT431_6085_HanChao_T10-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	10 min
Sample 3	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	20 min	1	enrichment of phosphorylated Protein	cell	run 3	proteomic profiling by mass spectrometry	E12595_2p_EXT431_6085_HanChao_T20-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12595_2p_EXT431_6085_HanChao_T20-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	20 min
Sample 4	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	none	40 min	1	enrichment of phosphorylated Protein	cell	run 4	proteomic profiling by mass spectrometry	E12597_2p_EXT431_6085_HanChao_T40-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12597_2p_EXT431_6085_HanChao_T40-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	none	40 min
Sample 5	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	10 min	1	enrichment of phosphorylated Protein	cell	run 5	proteomic profiling by mass spectrometry	E12599_2p_EXT431_6085_HanChao_T10-Rapa-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12599_2p_EXT431_6085_HanChao_T10-Rapa-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	10 min
Sample 6	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	20 min	1	enrichment of phosphorylated Protein	cell	run 6	proteomic profiling by mass spectrometry	E12601_2p_EXT431_6085_HanChao_T20-Rapa-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12601_2p_EXT431_6085_HanChao_T20-Rapa-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	20 min
Sample 7	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	rapamycin	40 min	1	enrichment of phosphorylated Protein	cell	run 7	proteomic profiling by mass spectrometry	E12603_2p_EXT431_6085_HanChao_T40-Rapa-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12603_2p_EXT431_6085_HanChao_T40-Rapa-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	rapamycin	40 min
Sample 8	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	10 min	1	enrichment of phosphorylated Protein	cell	run 8	proteomic profiling by mass spectrometry	E12605_2p_EXT431_6085_HanChao_T10-AZD-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12605_2p_EXT431_6085_HanChao_T10-AZD-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	10 min
Sample 9	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	20 min	1	enrichment of phosphorylated Protein	cell	run 9	proteomic profiling by mass spectrometry	E12607_2p_EXT431_6085_HanChao_T20-AZD-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12607_2p_EXT431_6085_HanChao_T20-AZD-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	20 min
Sample 10	Arabidopsis thaliana	Whole Organism	wild-type	not available	not available	not available	not available	AZD8055	40 min	1	enrichment of phosphorylated Protein	cell	run 10	proteomic profiling by mass spectrometry	E12609_2p_EXT431_6085_HanChao_T40-AZD-1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/07/PXD008355/E12609_2p_EXT431_6085_HanChao_T40-AZD-1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	NT=Q Exactive;AC=MS:1001911	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	25% NCE	20 ppm	0.5 Da	AZD8055	40 min
