#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[individual]	characteristics[cell type]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[label]	comment[instrument]	comment[fraction identifier]	comment[technical replicate]	comment[dissociation method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[file uri]	comment[proteomics data acquisition method]	comment[data file]
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_01.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_01.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_02.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_02.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_03.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_03.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_04.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_04.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_05.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_05.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_06.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_06.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_07.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_07.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_08.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_08.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_09.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_09.raw
Sample 1	Homo sapiens	colon	HCT 116	not available	not available	colon carcinoma	not available	not available	not available	not available	1	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1002523;NT=Q Exactive HF	1	1	not available	AC=MS:1001251;NT=Trypsin	AC=UNIMOD:35;NT=Oxidation;MT=Variable;TA=M	AC=UNIMOD:1;NT=Acetyl;MT=Variable;PP=Protein N-term	AC=UNIMOD:21;NT=Phospho;MT=variable;TA=S,T,Y	AC=UNIMOD:4;NT=Carbamidomethyl;MT=Fixed;TA=C	20 ppm	0.05 Da	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012255/Phospho_redissolve_final_10.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	Phospho_redissolve_final_10.raw
