source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]
PXD004209_NP11-TDr-BA1-O1005_0-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA1-O1005_0-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA1-O1005_0-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA1-O1005_0-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA2-O1005_1-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA2-O1005_1-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA2-O1005_1-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA2-O1005_1-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA3-O1005_2-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA3-O1005_2-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA3-O1005_2-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA3-O1005_2-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA4-O1005_3-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA4-O1005_3-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA4-O1005_3-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA4-O1005_3-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA5-O1005_4-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA5-O1005_4-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA5-O1005_4-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA5-O1005_4-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA6-O1005_5-1	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA6-O1005_5-1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
PXD004209_NP11-TDr-BA6-O1005_5-2	Danio rerio	Tissue brain plasma membrane	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	4.5 ppm	20 ppm	NT=HCD	NP11-TDr-BA6-O1005_5-2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=None	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915
