Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[developmental stage]	Characteristics[disease]	Characteristics[ancestry category]	Characteristics[sex]	Characteristics[age]	Characteristics[sample amount]	Characteristics[treatment]	Characteristics[biological replicate]	Characteristics[enrichment process]	Characteristics[enrichment method]	assay name	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[sample amount]	Factor Value[treatment]	Factor Value[enrichment method]
Sample 1	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	1	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 1	OR10_20151203_HP_LMR_HeLa_FeIMAC_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_FeIMAC_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Fe(III)-IMAC
Sample 2	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	2	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 2	OR10_20151203_HP_LMR_HeLa_FeIMAC_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_FeIMAC_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Fe(III)-IMAC
Sample 3	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	3	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 3	OR10_20151203_HP_LMR_HeLa_FeIMAC_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_FeIMAC_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Fe(III)-IMAC
Sample 4	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	4	enrichment of phosphorylated Protein	Fe(III)-IMAC	run 4	OR10_20151203_HP_LMR_HeLa_FeIMAC_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_FeIMAC_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Fe(III)-IMAC
Sample 5	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	1	enrichment of phosphorylated Protein	Ti(IV)-IMAC	run 5	OR10_20151203_HP_LMR_HeLa_TiIMAC_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiIMAC_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Ti(IV)-IMAC
Sample 6	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	2	enrichment of phosphorylated Protein	Ti(IV)-IMAC	run 6	OR10_20151203_HP_LMR_HeLa_TiIMAC_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiIMAC_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Ti(IV)-IMAC
Sample 7	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	3	enrichment of phosphorylated Protein	Ti(IV)-IMAC	run 7	OR10_20151203_HP_LMR_HeLa_TiIMAC_3.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiIMAC_3.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Ti(IV)-IMAC
Sample 8	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	4	enrichment of phosphorylated Protein	Ti(IV)-IMAC	run 8	OR10_20151203_HP_LMR_HeLa_TiIMAC_4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiIMAC_4.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	Ti(IV)-IMAC
Sample 9	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	1	enrichment of phosphorylated Protein	TiO2	run 9	OR10_20151203_HP_LMR_HeLa_TiO2_1.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiO2_1.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	TiO2
Sample 10	Homo sapiens	uterine cervix	epithelial	HeLa	adult	adenocarcinoma	Black	female	31Y	200 ug	none	2	enrichment of phosphorylated Protein	TiO2	run 10	OR10_20151203_HP_LMR_HeLa_TiO2_2.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/12/PXD005366/OR10_20151203_HP_LMR_HeLa_TiO2_2.raw	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=HCD;AC=MS:1000422	25% NCE	not available	not available	cell	200 ug	none	TiO2
