source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[phenotype]	assay name	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[fractionation method]	comment[file uri]	factor value[phenotype]
phospho_1	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 parent clone without metastasis	run 1	120404_mHCT116_phospho_1.raw	1	1	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_01.raw	HCT116 parent clone without metastasis
phospho_2	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 parent clone without metastasis	run 1	120404_mHCT116_phospho_1.raw	1	1	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_01.raw	HCT116 parent clone without metastasis
phospho_3	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT115 metastatic clone	run 1	120404_mHCT116_phospho_1.raw	1	1	AC=MS:1002626;NT=iTRAQ reagent 116	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_01.raw	HCT115 metastatic clone
phospho_4	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 metastatic clone	run 1	120404_mHCT116_phospho_1.raw	1	1	AC=MS:1002627;NT=iTRAQ reagent 117	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_01.raw	HCT116 metastatic clone
phospho_1	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 parent clone without metastasis	run 2	120404_mHCT116_phospho_2.raw	1	2	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_02.raw	HCT116 parent clone without metastasis
phospho_2	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 parent clone without metastasis	run 2	120404_mHCT116_phospho_2.raw	1	2	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_02.raw	HCT116 parent clone without metastasis
phospho_3	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT115 metastatic clone	run 2	120404_mHCT116_phospho_2.raw	1	2	AC=MS:1002626;NT=iTRAQ reagent 116	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_02.raw	HCT115 metastatic clone
phospho_4	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 metastatic clone	run 2	120404_mHCT116_phospho_2.raw	1	2	AC=MS:1002627;NT=iTRAQ reagent 117	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_02.raw	HCT116 metastatic clone
phospho_1	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 parent clone without metastasis	run 3	120404_mHCT116_phospho_3.raw	1	3	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_03.raw	HCT116 parent clone without metastasis
phospho_2	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 parent clone without metastasis	run 3	120404_mHCT116_phospho_3.raw	1	3	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_03.raw	HCT116 parent clone without metastasis
phospho_3	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT115 metastatic clone	run 3	120404_mHCT116_phospho_3.raw	1	3	AC=MS:1002626;NT=iTRAQ reagent 116	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_03.raw	HCT115 metastatic clone
phospho_4	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 metastatic clone	run 3	120404_mHCT116_phospho_3.raw	1	3	AC=MS:1002627;NT=iTRAQ reagent 117	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_03.raw	HCT116 metastatic clone
phospho_1	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 parent clone without metastasis	run 4	120404_mHCT116_phospho_4.raw	1	4	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_04.raw	HCT116 parent clone without metastasis
phospho_2	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT116 parent clone without metastasis	run 4	120404_mHCT116_phospho_4.raw	1	4	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_04.raw	HCT116 parent clone without metastasis
phospho_3	Homo sapiens	Colorectum	not available	HCT116	not available	not available	not available	Colorectal cancer	not available	1	HCT115 metastatic clone	run 4	120404_mHCT116_phospho_4.raw	1	4	AC=MS:1002626;NT=iTRAQ reagent 116	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=IMAC;AC=PRIDE:0000587	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000206.0/120404_mHCT116_phospho_04.raw	HCT115 metastatic clone
