#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[genetic background]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[optical density]	characteristics[growth phase]	characteristics[biological replicate]	characteristics[time]	characteristics[enrichment process]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	factor value[medium supplements]
20170419_OR13_MH_W3110_control_cipro_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	1	Not available	Not available	run 22	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170419_OR13_MH_W3110_control_cipro_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
20170419_OR13_MH_W3110_control_cipro_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	2	Not available	Not available	run 23	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170419_OR13_MH_W3110_control_cipro_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
20170419_OR13_MH_W3110_control_cipro_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not available	Not available	LB medium	Not available	37°C	1.2	Early stationary phase	3	Not available	Not available	run 24	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170419_OR13_MH_W3110_control_cipro_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Not available
20170419_OR13_MH_W3110_D3_cipro_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	1	3 day	Not available	run 19	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170419_OR13_MH_W3110_D3_cipro_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
20170419_OR13_MH_W3110_D3_cipro_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	2	3 day	Not available	run 20	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170419_OR13_MH_W3110_D3_cipro_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
20170419_OR13_MH_W3110_D3_cipro_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	3	3 day	Not available	run 21	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170419_OR13_MH_W3110_D3_cipro_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
20170420_OR13_MH_W3110_D7_cipro_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	1	7 day	Not available	run 25	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_D7_cipro_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
20170420_OR13_MH_W3110_D7_cipro_2.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	2	7 day	Not available	run 26	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_D7_cipro_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
20170420_OR13_MH_W3110_D7_cipro_3.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Ciprofloxacin	Not available	LB medium	Ciprofloxacin	37°C	1.2	Early stationary phase	3	7 day	Not available	run 27	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_D7_cipro_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Ciprofloxacin
20170420_OR13_MH_W3110_Day4_colistin_1.raw	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Colistin	Not available	LB medium	Colistin	37°C	1.2	Early stationary phase	1	4 day	Not available	run 28	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20170420_OR13_MH_W3110_Day4_colistin_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	Colistin
