source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	factor value[cell line]	characteristics[cell type]	characteristics[ancestry category]	assay name	comment[file uri]	comment[fractionation method]	characteristics[Technical replicate]	comment[fraction identifier]	comment[label]	comment[MS2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[number of missed cleavages]	comment[cleavage agent details]	comment[number of missed cleavages]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	Material Type	Factor Value[organism part]
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F0_ETD.raw	not available	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Phosphorylation;MT=Variable;AC=UNIMOD:21	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001309	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F0_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F1_ETD.raw	not available	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:37	NT=Phosphorylation;MT=Variable;AC=UNIMOD:22	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001311	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F1_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F2_ETD.raw	not available	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	NT=Phosphorylation;MT=Variable;AC=UNIMOD:23	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001313	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F2_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F3_ETD.raw	not available	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:41	NT=Phosphorylation;MT=Variable;AC=UNIMOD:24	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001315	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F3_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 9	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F4_ETD.raw	not available	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:43	NT=Phosphorylation;MT=Variable;AC=UNIMOD:25	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001317	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F4_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 11	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F5_ETD.raw	not available	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:45	NT=Phosphorylation;MT=Variable;AC=UNIMOD:26	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001319	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F5_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 13	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F6_ETD.raw	not available	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:47	NT=Phosphorylation;MT=Variable;AC=UNIMOD:27	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001321	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R1_F6_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 15	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F0_ETD.raw	not available	2	1	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:49	NT=Phosphorylation;MT=Variable;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001323	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F0_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 17	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F1_ETD.raw	not available	2	2	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:51	NT=Phosphorylation;MT=Variable;AC=UNIMOD:29	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001325	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F1_ETD.raw	Cell line	Cervix
Sample 1	Homo sapiens	Cervix	not available	not available	not available	Cancer	Hella cell	not available	not available	run 19	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/02/PXD012243/LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F2_ETD.raw	not available	2	3	AC=MS:1002038;NT=label free sample	AC=MS:1000484; NT=Orbitrap	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:53	NT=Phosphorylation;MT=Variable;AC=UNIMOD:30	AC=MS:1001251;NT=Trypsin	not available	NT=Lys-C;AC=MS:1001327	not available	AC=MS:1000422;NT=HCD	not available	4.5 ppm	20 ppm	LUMOS_SCL-IAH_AR-H2O2_LysC_1x_R2_F2_ETD.raw	Cell line	Cervix
