Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[sex]	Characteristics[developmental stage]	Characteristics[infect]	Characteristics[disease]	Characteristics[cell line]	Characteristics[individual]	assay name	comment[label]	comment[file uri]	comment[fraction identifier]	comment[biological replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	Material Type	factor value[infect]
Sample 1	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-002_H11	run 1	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017144.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017144.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 2	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-025_F12	run 2	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017145.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017145.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 3	Homo sapiens	kidney	not available	fetus	Severe acute respiratory syndrome coronavirus 2	not available	HEK293T	CoV01-031_F6	run 3	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017146.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017146.raw	cell	Severe acute respiratory syndrome coronavirus 2
Sample 4	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV02-004	run 4	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017084.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017084.raw	cell	Control
Sample 5	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV02-005	run 5	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017098.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017098.raw	cell	Control
Sample 6	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV01-039_E10	run 6	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017108.raw	not available	4	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017108.raw	cell	Control
Sample 7	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV01-013_G12	run 7	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017142.raw	not available	5	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017142.raw	cell	Control
Sample 8	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV02-001	run 8	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017077.raw	not available	1	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017077.raw	cell	Control
Sample 9	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV02-002	run 9	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017078.raw	not available	2	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017078.raw	cell	Control
Sample 10	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV01-027_F10	run 10	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017118.raw	not available	4	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017118.raw	cell	Control
Sample 11	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV01-014_G11	run 11	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017132.raw	not available	5	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017132.raw	cell	Control
Sample 12	Homo sapiens	kidney	not available	fetus	Control	not available	HEK293T	CoV02-003	run 12	AC=MS:1002038;NM=label free sample	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017158.raw	not available	3	NM=Q Exactive Plus;AC=MS:1002634	NM=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NM=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NM=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NE=Trypsin	not available	not available	qx017158.raw	cell	Control
