source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[phenotype]	characteristics[disease]	characteristics[cell line]	characteristics[individual]	characteristics[bait]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]	factor value[phenotype]
Sample 1	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-002_H11	E	1	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017144.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017144.raw	SARS-Co-V2 proteins
Sample 2	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-025_F12	E	2	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017145.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017145.raw	SARS-Co-V2 proteins
Sample 3	homo sapiens	kidney	not available	not available	fetus	not available	not available	SARS-Co-V2 proteins	not available	HEK293T	CoV01-031_F6	E	3	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017146.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017146.raw	SARS-Co-V2 proteins
Sample 4	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-004	EGFP	1	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017084.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017084.raw	Control
Sample 5	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-005	EGFP	2	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017098.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017098.raw	Control
Sample 6	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV01-039_E10	EGFP	4	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017108.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017108.raw	Control
Sample 7	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV01-013_G12	EGFP	5	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017142.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017142.raw	Control
Sample 8	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-001	EV	1	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017077.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017077.raw	Control
Sample 9	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV02-002	EV	2	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017078.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017078.raw	Control
Sample 10	homo sapiens	kidney	not available	not available	fetus	not available	not available	Control	not available	HEK293T	CoV01-027_F10	EV	4	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD018117/qx017118.raw	1	1	NT=Q Exactive Plus;AC=MS:1002634	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=variable	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	AC=MS:1001251;NT=Trypsin	not available	not available	qx017118.raw	Control
