source name	characteristics[organism]	characteristics[strain/breed]	characteristics[organism part]	characteristics[cell type]	characteristics[developmental stage]	characteristics[disease]	assay name	Technology Type	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[instrument]	comment[technical replicate]	comment[biological replicate]
rat_heart_A_1	Rattus norvegicus	_WT/TtntvA-band	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_A_1_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_A_1_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	1
rat_heart_A_1	Rattus norvegicus	_WT/TtntvA-band	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_A_1_2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_A_1_2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	1
rat_heart_A_2	Rattus norvegicus	_WT/TtntvA-band	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_A_2_1_181015191901	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_A_2_1_181015191901	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	2
rat_heart_A_2	Rattus norvegicus	_WT/TtntvA-band	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_A_2_2_181015232340	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_A_2_2_181015232340	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	2
rat_heart_A_3	Rattus norvegicus	_WT/TtntvA-band	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_A_3_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_A_3_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	3
rat_heart_A_3	Rattus norvegicus	_WT/TtntvA-band	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_A_3_2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_A_3_2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	3
rat_heart_A_4	Rattus norvegicus	_WT/TtntvA-band	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_A_4_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_A_4_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	4
rat_heart_A_4	Rattus norvegicus	_WT/TtntvA-band	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_A_4_2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_A_4_2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	4
rat_heart_wt_1	Rattus norvegicus	_WT/WT	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_wt_1_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_wt_1_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	1
rat_heart_wt_1	Rattus norvegicus	_WT/WT	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_wt_1_2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_wt_1_2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	1
rat_heart_wt_2	Rattus norvegicus	_WT/WT	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_wt_2_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_wt_2_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	2
rat_heart_wt_2	Rattus norvegicus	_WT/WT	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_wt_2_2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_wt_2_2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	2
rat_heart_wt_3	Rattus norvegicus	_WT/WT	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_wt_3_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_wt_3_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	3
rat_heart_wt_3	Rattus norvegicus	_WT/WT	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_wt_3_2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_wt_3_2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	3
rat_heart_wt_4	Rattus norvegicus	_WT/WT	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_wt_4_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_wt_4_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	4
rat_heart_wt_4	Rattus norvegicus	_WT/WT	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_wt_4_2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_wt_4_2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	4
rat_heart_Z_1	Rattus norvegicus	_WT/TtntvZ-disk	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_Z_1_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_Z_1_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	1
rat_heart_Z_1	Rattus norvegicus	_WT/TtntvZ-disk	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_Z_1_2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_Z_1_2	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	2	1
rat_heart_Z_2	Rattus norvegicus	_WT/TtntvZ-disk	Heart	cardiac	8W	normal	1	proteomic profiling by mass spectrometry	ANAKIN_20181005_MK_SH_rat_heart_Z_2_1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2019/06/PXD012593/ANAKIN_20181005_MK_SH_rat_heart_Z_2_1	1	AC=MS:1002038;NT=label free sample	NT=Trypsin; AC=MS:1001251	NT=Lys-C; AC=MS:1001309	NT=Orbitrap Fusion; AC=MS:1002416	1	2
