source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[individual]	characteristics[phenotype]	characteristics[specimen]	characteristics[biological replicate]	characteristics[ancestry category]	assay name	comment[file uri]	comment[fraction identifier]	Comment[data file]	comment[label]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	Comment[Dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	Material Type	Factor Value[Phenotype]
Sample 1	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_QC_SA_Saliva2_2.raw		20150414_QEp1_LC7_NiGr_QC_SA_Saliva2_2.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 2	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1.raw		20150414_QEp1_LC7_NiGr_SA_Saliva_1.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated1.raw	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated1.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated2.raw	2	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated2.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated3.raw	3	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated3.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 6	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated4.raw	4	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated4.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated5.raw	5	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated5.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 8	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated6.raw	6	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated6.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 9	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated7.raw	7	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated7.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
Sample 3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	run 10	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated8.raw	8	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated8.raw	AC=MS:1002038;NT=label free sample	not available	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ; AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	organism part	Saliva
