source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[cell line]	characteristics[individual]	characteristics[phenotype]	characteristics[specimen]	characteristics[biological replicate]	characteristics[ancestry category]	material type	assay name	technology type	comment[file uri]	comment[fraction identifier]	comment[data file]	comment[label]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[organism part]
PXD003028-Sample-1	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 1	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_QC_SA_Saliva2_2.raw	1	20150414_QEp1_LC7_NiGr_QC_SA_Saliva2_2.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-2	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 2	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1.raw	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 3	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated1.raw	1	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated1.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 4	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated2.raw	2	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated2.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 5	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated3.raw	3	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated3.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 6	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated4.raw	4	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated4.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 7	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated5.raw	5	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated5.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 8	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated6.raw	6	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated6.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 9	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated7.raw	7	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated7.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
PXD003028-Sample-3	Homo sapiens	Saliva	not available	Adult	not available	not available	organism part	not available	not available	Healthy	not available	not available	not available	organism part	run 10	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2016/03/PXD003028/20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated8.raw	8	20150414_QEp1_LC7_NiGr_SA_Saliva_1_fractionated8.raw	AC=MS:1002038;NT=label free sample	1	AC=MS:1002523;NT=Q Exactive HF	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;AC=UNIMOD:1;PP=PP=Any N-term;MT=Variable	NT=Oxidation ; TA=M ;AC=UNIMOD:35 ;MT=Variable	AC=MS:1001251;NT=Trypsin	AC=MS:1000422;NT=HCD	not available	4.5 ppm	0.5 Da	Saliva
