source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[growth condition]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[reduction reagent]	comment[alkylation reagent]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]
Sample 1	Haloferax volcanii DS2	RR01	culture supernatant CsCl fraction	prokaryotic cell	Exponential growth phase	1	not applicable	Run 1	proteomic profiling by mass spectrometry	StS_FASP-RR01_05052017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 2	Haloferax volcanii DS2	RR02	culture supernatant CsCl fraction	prokaryotic cell	Exponential growth phase	1	not applicable	Run 2	proteomic profiling by mass spectrometry	StS_FASP-RR02_05052017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 3	Haloferax volcanii DS2	RR03	culture supernatant CsCl fraction	prokaryotic cell	Exponential growth phase	1	not applicable	Run 3	proteomic profiling by mass spectrometry	StS_FASP-RR03_05052017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 4	Haloferax volcanii DS2	JS27	culture supernatant CsCl fraction	prokaryotic cell	Exponential growth phase	1	not applicable	Run 4	proteomic profiling by mass spectrometry	StS_FASP-WT_05052017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 5	Haloferax volcanii DS2	FH54	culture supernatant	prokaryotic cell	Exponential growth phase	1	not applicable	Run 5	proteomic profiling by mass spectrometry	StS_Hvo_1143_Try_SN_Big12_20160929.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 6	Haloferax volcanii DS2	AF103	culture supernatant	prokaryotic cell	Exponential growth phase	1	not applicable	Run 6	proteomic profiling by mass spectrometry	StS_Hvo_ArtA_Try_SN_Big12_20160929.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 7	Haloferax volcanii DS2	H53	culture supernatant	prokaryotic cell	Exponential growth phase	2	not applicable	Run 7	proteomic profiling by mass spectrometry	StS_Hvo_wt_Try_SN_Big12_20160929.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 5	Haloferax volcanii DS2	FH54	culture supernatant	prokaryotic cell	Exponential growth phase	2	not applicable	Run 8	proteomic profiling by mass spectrometry	StS_Hvo_1143_GluC_SN_Big12_20160929.raw	1	2	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 6	Haloferax volcanii DS2	AF103	culture supernatant	prokaryotic cell	Exponential growth phase	2	not applicable	Run 9	proteomic profiling by mass spectrometry	StS_Hvo_ArtA_GluC_SN_Big12_20160929.raw	1	2	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 7	Haloferax volcanii DS2	H53	culture supernatant	prokaryotic cell	Exponential growth phase	2	not applicable	Run 17	proteomic profiling by mass spectrometry	StS_Hvo_wt_GluC_SN_Big12_20160929.raw	1	2	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 8	Haloferax volcanii DS2	AF103	membrane	prokaryotic cell	Exponential growth phase	2	not applicable	Run 18	proteomic profiling by mass spectrometry	StS_artA-GluC-membrane_22082017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 8	Haloferax volcanii DS2	AF103	culture supernatant	prokaryotic cell	Exponential growth phase	2	not applicable	Run 19	proteomic profiling by mass spectrometry	StS_artA-GluC-SN_22082017.raw	1	2	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 9	Haloferax volcanii DS2	FH54	membrane	prokaryotic cell	Exponential growth phase	2	not applicable	Run 10	proteomic profiling by mass spectrometry	StS_pssA-GluC-membrane_22082017.raw	1	1	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
Sample 9	Haloferax volcanii DS2	FH54	culture supernatant	prokaryotic cell	Exponential growth phase	2	not applicable	Run 11	proteomic profiling by mass spectrometry	StS_pssA-GluC-SN_22082017.raw	1	2	label free sample	DTT	IAA	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001314;NT=V8-DE	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=HCD;AC=MS:1002481	27% NCE
