source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[biological replicate]	characteristics[phenotype]	assay name	technology type	comment[proteomics data acquisition method]	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
Sample 1	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr1.raw	1	1	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 1	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 1	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr1.raw	1	1	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr1.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr2.raw	1	2	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 2	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr2.raw	1	2	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr2.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr3.raw	1	3	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 3	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr3.raw	1	3	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr3.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr4.raw	1	4	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 4	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr4.raw	1	4	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr4.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with high-risk MammaPrint breast cancer	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr5.raw	1	5	itraq114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	1	18 patients with with low-risk MammaPrint breast cancer	run 5	proteomic profiling by mass spectrometry	NT=Data-dependent acquisition;AC=PRIDE:0000627	BreastCancerMem_Fr5.raw	1	5	itraq115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere;AC=Unimod:214; TA=K; MM=144	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term;AC=Unimod:214; TA=.; MM=144	NT=iTRAQ4plex; MT=variable; PP=Anywhere;AC=Unimod:214; TA=Y; MM=144	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr5.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
