source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	characteristics[phenotype]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[file uri]
Sample 1	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 1	BreastCancerMem_Fr1.raw	1	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr1.raw
Sample 1	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 1	BreastCancerMem_Fr1.raw	1	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr1.raw
Sample 2	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 2	BreastCancerMem_Fr2.raw	2	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr2.raw
Sample 2	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 2	BreastCancerMem_Fr2.raw	2	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr2.raw
Sample 3	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 3	BreastCancerMem_Fr3.raw	3	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr3.raw
Sample 3	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 3	BreastCancerMem_Fr3.raw	3	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr3.raw
Sample 4	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 4	BreastCancerMem_Fr4.raw	4	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr4.raw
Sample 4	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 4	BreastCancerMem_Fr4.raw	4	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr4.raw
Sample 5	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 5	BreastCancerMem_Fr5.raw	5	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr5.raw
Sample 5	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 5	BreastCancerMem_Fr5.raw	5	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr5.raw
Sample 6	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 6	BreastCancerMem_Fr6.raw	6	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr6.raw
Sample 6	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 6	BreastCancerMem_Fr6.raw	6	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr6.raw
Sample 7	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 7	BreastCancerMem_Fr7.raw	7	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr7.raw
Sample 7	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with low-risk MammaPrint breast cancer	run 7	BreastCancerMem_Fr7.raw	7	AC=MS:1002625;NT=iTRAQ reagent 115	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr7.raw
Sample 8	Homo sapiens	Breast	not available	not available	not available	not available	Breast cancer	not available	18 patients with with high-risk MammaPrint breast cancer	run 8	BreastCancerMem_Fr8.raw	8	AC=MS:1002624;NT=iTRAQ reagent 114	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Lys-C;AC=MS:1001309	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=iTRAQ4plex; MT=fixed; PP=Anywhere; AC=Unimod:214; TA=K; MM=144.10207	NT=iTRAQ4plex; MT=fixed; PP=Any N-Term; AC=Unimod:214; TA=.; MM=144.10207	NT=iTRAQ4plex; MT=variable; PP=Anywhere; AC=Unimod:214; TA=Y; MM=144.10207	NT=Strong cation-exchange chromatography (SCX);AC=PRIDE:0000561	https://repository.jpostdb.org/data/JPST000201.0/BreastCancerMem_Fr8.raw
