#file_format=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[treatment]	characteristics[growth stage]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[optical density]	characteristics[growth phase]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details]	comment[dissociation method]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	Factor value[treatment]	Factor value[growth stage]
Control Early plateau replicate_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Early plateau	Not applicable	Prokaryotic cell	1	MOPS	Glucose	30-37°C	2.3-3.0	Stationary phase	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210311_07_Orbi2_SK_SER_G180_T210_K2rmas_3-83-1_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210311_07_Orbi2_SK_SER_G180_T210_K2rmas_3-83-1_2,25ug_iRT_150pg.raw	Control	Early plateau
Control Early plateau replicate_2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Early plateau	Not applicable	Prokaryotic cell	2	MOPS	Glucose	30-37°C	2.3-3.0	Stationary phase	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210308_15_Orbi2_KN_SER_G180_T210_K2rmas_3-83-2_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210308_15_Orbi2_KN_SER_G180_T210_K2rmas_3-83-2_2,25ug_iRT_150pg.raw	Control	Early plateau
Control Early plateau replicate_3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Early plateau	Not applicable	Prokaryotic cell	3	MOPS	Glucose	30-37°C	2.3-3.0	Stationary phase	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210308_07_Orbi2_KN_SER_G180_T210_K2rmas_3-83-3_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210308_07_Orbi2_KN_SER_G180_T210_K2rmas_3-83-3_2,25ug_iRT_150pg.raw	Control	Early plateau
Control Growing replicate_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Growing	Not applicable	Prokaryotic cell	1	MOPS	Glucose	30-37°C	1	Exponential phase	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210309_15_Orbi2_KN_SER_G180_T210_K2rmas_1-83-1_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210309_15_Orbi2_KN_SER_G180_T210_K2rmas_1-83-1_2,25ug_iRT_150pg.raw	Control	Growing
Control Growing replicate_2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Growing	Not applicable	Prokaryotic cell	2	MOPS	Glucose	30-37°C	1	Exponential phase	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210308_03_Orbi2_KN_SER_G180_T210_K2rmas_1-83-2_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210308_03_Orbi2_KN_SER_G180_T210_K2rmas_1-83-2_2,25ug_iRT_150pg.raw	Control	Growing
Control Growing replicate_3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Growing	Not applicable	Prokaryotic cell	3	MOPS	Glucose	30-37°C	1	Exponential phase	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210309_07_Orbi2_KN_SER_G180_T210_K2rmas_1-83-3_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210309_07_Orbi2_KN_SER_G180_T210_K2rmas_1-83-3_2,25ug_iRT_150pg.raw	Control	Growing
Control Late plateau replicate_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Late plateau	Not applicable	Prokaryotic cell	1	MOPS	Glucose	30-37°C	2.0-2.8	Stationary phase	Run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210309_03_Orbi2_KN_SER_G180_T210_K2rmas_4-83-1_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210309_03_Orbi2_KN_SER_G180_T210_K2rmas_4-83-1_2,25ug_iRT_150pg.raw	Control	Late plateau
Control Late plateau replicate_2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Late plateau	Not applicable	Prokaryotic cell	2	MOPS	Glucose	30-37°C	2.0-2.8	Stationary phase	Run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210309_11_Orbi2_KN_SER_G180_T210_K2rmas_4-83-2_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210309_11_Orbi2_KN_SER_G180_T210_K2rmas_4-83-2_2,25ug_iRT_150pg.raw	Control	Late plateau
Control Late plateau replicate_3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Control	Late plateau	Not applicable	Prokaryotic cell	3	MOPS	Glucose	30-37°C	2.0-2.8	Stationary phase	Run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210311_03_Orbi2_SK_SER_G180_T210_K2rmas_4-83-3_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210311_03_Orbi2_SK_SER_G180_T210_K2rmas_4-83-3_2,25ug_iRT_150pg.raw	Control	Late plateau
Switcher Early plateau replicate_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Recombineered	Early plateau	Not applicable	Prokaryotic cell	1	MOPS	Glucose	30-37°C	2.3-3.0	Stationary phase	Run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	210309_05_Orbi2_KN_SER_G180_T210_K2rmas_3-84-3_2,25ug_iRT_150pg.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	NT=LysC; AC=1001309	NT=HCD; AC=MS:1002481	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Deamidation; MT=Variable; TA=N,Q	NT=Acetyl; MT=Variable; PP=Protein N-term	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/12/PXD029931/210309_05_Orbi2_KN_SER_G180_T210_K2rmas_3-84-3_2,25ug_iRT_150pg.raw	Recombineered	Early plateau
