#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s01.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 1	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s01.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s02.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 2	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s02.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s03.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 3	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s03.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s04.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 4	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s04.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s05.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 5	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s05.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s06.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 6	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s06.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s07.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 7	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s07.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s08.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 8	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s08.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s09.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 9	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s09.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s10.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 10	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s10.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s11.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 11	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s11.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s12.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 12	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s12.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s13.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 13	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s13.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s14.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 14	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s14.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s15.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 15	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s15.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s16.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 16	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s16.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s17.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 17	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s17.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s18.raw	Escherichia coli	Cell lysate	Escherichia coli BL21(DE3)	Not applicable	Prokaryotic cell	Not available	1	37°C	run 18	Proteomic profiling by mass spectrometry	1	20210806_CT_CAT3ec_3ug_1D_RP180_QE3_s18.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	Not available
