source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[growth condition]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 1	Lana-SILAC-1.raw	1	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 2	Lana-SILAC-2.raw	2	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 3	Lana-SILAC-3.raw	3	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 4	Lana-SILAC-4.raw	4	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 5	Lana-SILAC-5.raw	5	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 6	Lana-SILAC-6.raw	6	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 7	Lana-SILAC-7.raw	7	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 8	Lana-SILAC-8.raw	8	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 9	Lana-SILAC-9.raw	9	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
Sample 1	Haloferax volcanii DS2 	LM08	Whole organism	prokaryotic cell	control	Run 10	Lana-SILAC-10.raw	10	None	AC=MS:1002634;NT=Q Exactive Plus	AC=MS:1001251;NT=Trypsin	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	NT=Methylthio;AC=UNIMOD:39;TA=C;MT=Fixed	None	None	NT=HCD;AC=MS:1002481	27% NCE
