source name	characteristics[organism]	characteristics[growth condition]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[optical density]	characteristics[growth phase]	characteristics[growth stage]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[sdrf version]	comment[sdrf template]	factor value[growth phase]	factor value[growth stage]
OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R1.raw	Escherichia coli	Glucose	M9 minimal medium	Glucose	37°C	1.2	Stationary phase	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	1	enrichment of phosphorylated protein	run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Stationary phase	Stationary
OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R2.raw	Escherichia coli	Glucose	M9 minimal medium	Glucose	37°C	1.2	Stationary phase	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	2	enrichment of phosphorylated protein	run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Stationary phase	Stationary
OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R3.raw	Escherichia coli	Glucose	M9 minimal medium	Glucose	37°C	1.2	Stationary phase	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	3	enrichment of phosphorylated protein	run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_20160922_CMP_Ecoli_glucose_stat_2mg_IMAC_R3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Stationary phase	Stationary
OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R1.raw	Escherichia coli	Glycerol	M9 minimal medium	Glycerol	37°C	1.0	Stationary phase	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	1	enrichment of phosphorylated protein	run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Stationary phase	Stationary
OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R2.raw	Escherichia coli	Glycerol	M9 minimal medium	Glycerol	37°C	1.0	Stationary phase	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	2	enrichment of phosphorylated protein	run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Stationary phase	Stationary
OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R3.raw	Escherichia coli	Glycerol	M9 minimal medium	Glycerol	37°C	1.0	Stationary phase	Stationary	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	3	enrichment of phosphorylated protein	run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_20160922_CMP_Ecoli_glycerol_stat_2mg_IMAC_R3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Stationary phase	Stationary
OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R1.raw	Escherichia coli	Glucose	M9 minimal medium	Glucose	37°C	0.6	Mid exponential phase	Exponential	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	1	enrichment of phosphorylated protein	run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Mid exponential phase	Exponential
OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R2.raw	Escherichia coli	Glucose	M9 minimal medium	Glucose	37°C	0.6	Mid exponential phase	Exponential	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	2	enrichment of phosphorylated protein	run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Mid exponential phase	Exponential
OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R3.raw	Escherichia coli	Glucose	M9 minimal medium	Glucose	37°C	0.6	Mid exponential phase	Exponential	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	3	enrichment of phosphorylated protein	run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_A2_20161014_CMP_Ecoli_glucose_exp_2mg_IMAC_R3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Mid exponential phase	Exponential
OR13_A2_20161014_CMP_Ecoli_glycerol_exp_2mg_IMAC_R1.raw	Escherichia coli	Glycerol	M9 minimal medium	Glycerol	37°C	0.5	Mid exponential phase	Exponential	Cell lysate	Escherichia coli str. K-12 substr. W3110	Not applicable	Prokaryotic cell	Not applicable	1	enrichment of phosphorylated protein	run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	OR13_A2_20161014_CMP_Ecoli_glycerol_exp_2mg_IMAC_R1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	Not available	Not available	TCEP	CAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	27 %	v1.1.0	NT=ms-proteomics;version=v1.1.0	Mid exponential phase	Exponential
