#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,crosslinking
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[material type]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[label]	comment[instrument]	comment[cross-linker]	comment[dissociation method]	comment[collision energy]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[crosslink enrichment method]
batch1_sample1	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_D4	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210806_MxR_FDR_firstbatch_DSSOplate_D4.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210806_MxR_FDR_firstbatch_DSSOplate_D4.raw	1	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample2	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_D5	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210806_MxR_FDR_firstbatch_DSSOplate_D5.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210806_MxR_FDR_firstbatch_DSSOplate_D5.raw	2	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample3	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_D6	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210806_MxR_FDR_firstbatch_DSSOplate_D6.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210806_MxR_FDR_firstbatch_DSSOplate_D6.raw	3	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample4	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_D7	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210806_MxR_FDR_firstbatch_DSSOplate_D7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210806_MxR_FDR_firstbatch_DSSOplate_D7.raw	4	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample5	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_C7	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210806_MxR_FDR_firstbatch_DSSOplate_C7.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210806_MxR_FDR_firstbatch_DSSOplate_C7.raw	5	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample6	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_C9	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210806_MxR_FDR_firstbatch_DSSOplate_C9.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210806_MxR_FDR_firstbatch_DSSOplate_C9.raw	6	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample7	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_C11	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210806_MxR_FDR_firstbatch_DSSOplate_C11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210806_MxR_FDR_firstbatch_DSSOplate_C11.raw	7	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample8	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_D10	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210811_MxR_FDR_firstbatch_DSSOplate_D10_remeasure.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210811_MxR_FDR_firstbatch_DSSOplate_D10_remeasure.raw	8	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample9	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_D11	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210811_MxR_FDR_firstbatch_DSSOplate_D11.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210811_MxR_FDR_firstbatch_DSSOplate_D11.raw	9	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
batch1_sample10	homo sapiens	not applicable	not applicable	recombinant protein	1	enrichment of cross-linked peptides	run_batch1_D12	proteomic profiling by mass spectrometry	PXD042173	Data-dependent acquisition	L1_20210811_MxR_FDR_firstbatch_DSSOplate_D12.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2023/06/PXD042173/L1_20210811_MxR_FDR_firstbatch_DSSOplate_D12.raw	10	1	label free sample	NT=Orbitrap Fusion Lumos;AC=MS:1002732	NT=DSSO;AC=XLMOD:02010;CL=yes;TA=K,S,T,Y,nterm;MH=54.01;ML=85.98	HCD	stepped 27+-6%	NT=Trypsin/P;AC=MS:1001313;NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;AC=UNIMOD:35;TA=M;MT=Variable	strong cation exchange chromatography
