#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[aeration]	characteristics[temperature]	characteristics[optical density]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]	Factor value[treatment]
45c_1	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	45c	1	LB medium	Not available	Not available	45°C	0.6	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_45c_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_45c_1.raw	45c
45c_2	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	45c	2	LB medium	Not available	Not available	45°C	0.6	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_45c_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_45c_2.raw	45c
45c_3	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	45c	3	LB medium	Not available	Not available	45°C	0.6	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_45c_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_45c_3.raw	45c
CuII_1	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	CuII	1	LB medium	CuSO4	Not available	Not available	0.6	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_CuII_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_1.raw	CuII
CuII_2	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	CuII	2	LB medium	CuSO4	Not available	Not available	0.6	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_CuII_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_2.raw	CuII
CuII_3	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	CuII	3	LB medium	CuSO4	Not available	Not available	0.6	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_CuII_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_3.raw	CuII
CuII_GSH_1	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	CuII_GSH	1	LB medium	CuSO4 + reduced glutathione	Anaerobiosis	Not available	0.6	Run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_CuII_GSH_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_GSH_1.raw	CuII_GSH
CuII_GSH_2	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	CuII_GSH	2	LB medium	CuSO4 + reduced glutathione	Anaerobiosis	Not available	0.6	Run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_CuII_GSH_2.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_GSH_2.raw	CuII_GSH
CuII_GSH_3	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	CuII_GSH	3	LB medium	CuSO4 + reduced glutathione	Anaerobiosis	Not available	0.6	Run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_CuII_GSH_3.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuII_GSH_3.raw	CuII_GSH
CuI_1	Escherichia coli	Cell lysate	Not available	Not applicable	Prokaryotic cell	CuI	1	LB medium	tetrakis(acetonitrile) copper(I) hexafluorophosphate	Anaerobiosis	Not available	0.6	Run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	191213_CuI_1.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	20 ppm	4.5 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	27% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2022/02/PXD019288/191213_CuI_1.raw	CuI
