#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[growth condition]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	assay name	technology type	comment[proteomics data acquisition method]	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]
ASKA_pool1	Escherichia coli	Cell lysate	ASKA(-) library Host Cell K-12 AG1(ME5305)	LB medium	Not applicable	Prokaryotic cell	Not applicable	1	LB medium	ASKA_1	Proteomic profiling by mass spectrometry	data-dependent acquisition	1	20130113_Ecoli_IB_P04-P23_IDA_1.wiff.scan	1	Not applicable	Label free sample	TripleTOF 5600+	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130113_Ecoli_IB_P04-P23_IDA_1.wiff.scan
ASKA_pool2	Escherichia coli	Cell lysate	ASKA(-) library Host Cell K-12 AG1(ME5305)	LB medium	Not applicable	Prokaryotic cell	Not applicable	1	LB medium	ASKA_2	Proteomic profiling by mass spectrometry	data-dependent acquisition	1	20130113_Ecoli_IB_P12-P35_IDA_1.wiff.scan	1	Not applicable	Label free sample	TripleTOF 5600+	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130113_Ecoli_IB_P12-P35_IDA_1.wiff.scan
ASKA_pool3	Escherichia coli	Cell lysate	ASKA(-) library Host Cell K-12 AG1(ME5305)	LB medium	Not applicable	Prokaryotic cell	Not applicable	1	LB medium	ASKA_3	Proteomic profiling by mass spectrometry	data-dependent acquisition	1	20130113_Ecoli_IB_P26-P27_IDA_1.wiff.scan	1	Not applicable	Label free sample	TripleTOF 5600+	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130113_Ecoli_IB_P26-P27_IDA_1.wiff.scan
ASKA_pool4	Escherichia coli	Cell lysate	ASKA(-) library Host Cell K-12 AG1(ME5305)	LB medium	Not applicable	Prokaryotic cell	Not applicable	1	LB medium	ASKA_4	Proteomic profiling by mass spectrometry	data-dependent acquisition	1	20130115_Ecoli_IB_P07-P39_IDA_1.wiff.scan	1	Not applicable	Label free sample	TripleTOF 5600+	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130115_Ecoli_IB_P07-P39_IDA_1.wiff.scan
ASKA_pool5	Escherichia coli	Cell lysate	ASKA(-) library Host Cell K-12 AG1(ME5305)	LB medium	Not applicable	Prokaryotic cell	Not applicable	1	LB medium	ASKA_5	Proteomic profiling by mass spectrometry	data-dependent acquisition	1	20130115_Ecoli_IB_P11-P30_IDA_1.wiff.scan	1	Not applicable	Label free sample	TripleTOF 5600+	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130115_Ecoli_IB_P11-P30_IDA_1.wiff.scan
ASKA_pool6	Escherichia coli	Cell lysate	ASKA(-) library Host Cell K-12 AG1(ME5305)	LB medium	Not applicable	Prokaryotic cell	Not applicable	1	LB medium	ASKA_6	Proteomic profiling by mass spectrometry	data-dependent acquisition	1	20130115_Ecoli_IB_P18-P38_IDA_1.wiff.scan	1	Not applicable	Label free sample	TripleTOF 5600+	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130115_Ecoli_IB_P18-P38_IDA_1.wiff.scan
WCL_sample_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	M9 medium	Not applicable	Prokaryotic cell	Not applicable	1	M9 medium	WCL_no_frac_instrument_unclear_1	Proteomic profiling by mass spectrometry	data-dependent acquisition	1	20130221_Ecoli_M9_control_001.wiff.scan	1	Not applicable	Label free sample	SCIEX instrument model	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130221_Ecoli_M9_control_001.wiff.scan
WCL_sample_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	M9 medium	Not applicable	Prokaryotic cell	Not applicable	1	M9 medium	WCL_no_frac_instrument_unclear_2	Proteomic profiling by mass spectrometry	data-dependent acquisition	2	20130221_Ecoli_M9_control_002.wiff.scan	1	Not applicable	Label free sample	SCIEX instrument model	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130221_Ecoli_M9_control_002.wiff.scan
WCL_sample_1	Escherichia coli	Cell lysate	Escherichia coli str. K-12	M9 medium	Not applicable	Prokaryotic cell	Not applicable	1	M9 medium	WCL_no_frac_instrument_unclear_3	Proteomic profiling by mass spectrometry	data-dependent acquisition	3	20130221_Ecoli_M9_control_003.wiff.scan	1	Not applicable	Label free sample	SCIEX instrument model	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130221_Ecoli_M9_control_003.wiff.scan
WCL_sample_2	Escherichia coli	Cell lysate	Escherichia coli str. K-12	Not available	Not applicable	Prokaryotic cell	Not applicable	1	Not available	WCL_no_frac_instrument_unclear_4	Proteomic profiling by mass spectrometry	data-dependent acquisition	4	20130422_Ecoli_standard_01.wiff.scan	1	Not applicable	Label free sample	SCIEX instrument model	NT=Trypsin;AC=1001251	0.05 Da	50 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	collision-induced dissociation	Not available	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/10/PXD020785/20130422_Ecoli_standard_01.wiff.scan
