#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics,version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	assay name	technology type	comment[proteomexchange accession number]	comment[proteomics data acquisition method]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[technical replicate]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[precursor mass tolerance]	comment[fragment mass tolerance]
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 1	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_ECM_old_14_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_ECM_old_14_1.raw	1	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 2	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_ECM_old_14_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_ECM_old_14_2.raw	2	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 3	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_ECM_old_14_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_ECM_old_14_3.raw	3	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 4	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_ECM_old_14_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_ECM_old_14_4.raw	4	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 5	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_ECM_young_11_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_ECM_young_11_1.raw	1	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 6	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_ECM_young_11_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_ECM_young_11_2.raw	2	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 7	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_ECM_young_11_3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_ECM_young_11_3.raw	3	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	3M	not applicable	not available	not available	1	run 8	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_ECM_young_11_4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_ECM_young_11_4.raw	4	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 9	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR1_old_14_1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR1_old_14_1.raw	5	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
Sample 1	mus musculus	Lungs	not applicable	24M	not applicable	not available	not available	1	run 10	proteomic profiling by mass spectrometry	PXD012307	NT=Data-dependent acquisition;AC=PRIDE:0000627	20131023_EXQ8_HeSc_SA_FR1_old_14_2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2019/01/PXD012307/20131023_EXQ8_HeSc_SA_FR1_old_14_2.raw	6	1	AC=MS:1001911;NT=Q Exactive	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Oxidation;MT=Variable;TA=P;AC=UNIMOD:35	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	label free	4.5 ppm	20 ppm
