source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[biological replicate]	characteristics[cell line]	characteristics[individual]	characteristics[material type]	assay name	technology type	comment[label]	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[dissociation method]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[cell line]
Sample 1	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01507.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01507.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 1	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01508.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01508.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 1	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01509.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01509.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 1	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01510.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01510.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 1	Homo sapiens	breast	adult	epithelial	Caucasian	51Y	female	breast carcinoma	1	MDAMB231	not available	cell	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01511.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01511.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB231
Sample 2	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	breast carcinoma	1	MDAMB453	not available	cell	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01515.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01515.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 2	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	breast carcinoma	1	MDAMB453	not available	cell	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01516.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01516.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 2	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	breast carcinoma	1	MDAMB453	not available	cell	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	3	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01517.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01517.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 2	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	breast carcinoma	1	MDAMB453	not available	cell	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	4	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01518.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01518.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
Sample 2	Homo sapiens	breast	adult	epithelial	Caucasian	48Y	female	breast carcinoma	1	MDAMB453	not available	cell	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	1	5	https://ftp.pride.ebi.ac.uk/pride/data/archive/2017/12/PXD008222/q01519.raw	NT=Q Exactive;AC=MS:1001911	NT=Lys-C;AC=MS:1001309	not available	0.01 Da	50 ppm	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variable	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Data-dependent acquisition;AC=PRIDE:0000627	q01519.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	MDAMB453
