source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[cell type]	characteristics[developmental stage]	characteristics[enrichment process]	characteristics[biological replicate]	characteristics[synthetic peptide]	assay name	technology type	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[enrichment method]	comment[data file]	factor value[enrichment method]	factor value[synthetic peptide]
Sample 202	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 202	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_01.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_01.raw	IMAC	not synthetic
Sample 215	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 215	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_02.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_02.raw	IMAC	not synthetic
Sample 194	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 194	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_03.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_03.raw	IMAC	not synthetic
Sample 223	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 223	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_04.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_04.raw	IMAC	not synthetic
Sample 312	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 312	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_05.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_05.raw	IMAC	not synthetic
Sample 174	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 174	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_06.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_06.raw	IMAC	not synthetic
Sample 335	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 335	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_07.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_07.raw	IMAC	not synthetic
Sample 94	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 94	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_08.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_08.raw	IMAC	not synthetic
Sample 56	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 56	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_09.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_09.raw	IMAC	not synthetic
Sample 64	Homo sapiens	not applicable	HeLa	African American	31Y	Female	epithelial cervix carcinoma	epithelial	adult	enrichment of phosphorylated Protein	1	not synthetic	run 64	proteomic profiling by mass spectrometry	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/08/PXD000759/Hela_IMAC_10.raw	1	1	NT=Trypsin;AC=MS:1001251	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Phospho;TA=S,T,Y;AC=UNIMOD:21;MT=variable	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP= Protein N-term;MT=Variable	AC=MS:1002038;NT=label free sample	0.6 Da	50 ppm	IMAC	Hela_IMAC_10.raw	IMAC	not synthetic
