source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[treatment]	characteristics[isolate]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]	factor value[isolate]
Sample 1	Escherichia coli	Cell lysate	Escherichia coli NC101	Control	NC101 WT	Not applicable	Prokaryotic cell	1	Mueller Hinton broth	37°C	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_10.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_10.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control	NC101 WT
Sample 2	Escherichia coli	Cell lysate	Escherichia coli NC101	PmB	PmB008R-3	Not applicable	Prokaryotic cell	1	Mueller Hinton broth	37°C	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_11.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_11.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	PmB	PmB008R-3
Sample 3	Escherichia coli	Cell lysate	Escherichia coli NC101	PmB	PmB008R-2	Not applicable	Prokaryotic cell	1	Mueller Hinton broth	37°C	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_12.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_12.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	PmB	PmB008R-2
Sample 4	Escherichia coli	Cell lysate	Escherichia coli NC101	PmB	PmB008R-2	Not applicable	Prokaryotic cell	2	Mueller Hinton broth	37°C	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_13.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_13.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	PmB	PmB008R-2
Sample 5	Escherichia coli	Cell lysate	Escherichia coli NC101	PmB	PmB008R-1	Not applicable	Prokaryotic cell	1	Mueller Hinton broth	37°C	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_14.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_14.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	PmB	PmB008R-1
Sample 6	Escherichia coli	Cell lysate	Escherichia coli NC101	Control	NC101 WT	Not applicable	Prokaryotic cell	2	Mueller Hinton broth	37°C	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_15.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_15.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control	NC101 WT
Sample 7	Escherichia coli	Cell lysate	Escherichia coli NC101	PmB	PmB008R-3	Not applicable	Prokaryotic cell	2	Mueller Hinton broth	37°C	Run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_16.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_16.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	PmB	PmB008R-3
Sample 8	Escherichia coli	Cell lysate	Escherichia coli NC101	Control	NC101 WT	Not applicable	Prokaryotic cell	3	Mueller Hinton broth	37°C	Run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_1_20200203183016.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_1_20200203183016.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	Control	NC101 WT
Sample 9	Escherichia coli	Cell lysate	Escherichia coli NC101	PmB	PmB008R-2	Not applicable	Prokaryotic cell	3	Mueller Hinton broth	37°C	Run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_2.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	PmB	PmB008R-2
Sample 10	Escherichia coli	Cell lysate	Escherichia coli NC101	PmB	PmB008R-1	Not applicable	Prokaryotic cell	2	Mueller Hinton broth	37°C	Run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	20200203_PWS_Ec_NC101_3.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin;AC=1001251	0.02 Da	15 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	28% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2021/07/PXD025088/20200203_PWS_Ec_NC101_3.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	PmB	PmB008R-1
