source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[cleavage agent details].1	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters].1	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	factor value[treatment]
EC-SDC-Trypsin-1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SDC-Trypsin	1	LB medium	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-5-33.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-5-33.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SDC-Trypsin
EC-SDC-Trypsin-2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SDC-Trypsin	2	LB medium	Run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-5-34.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-5-34.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SDC-Trypsin
EC-SDC-Trypsin-3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SDC-Trypsin	3	LB medium	Run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-5-35.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-5-35.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SDC-Trypsin
EC-SDC-Trypsin-4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SDC-Trypsin	4	LB medium	Run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-5-36.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-5-36.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SDC-Trypsin
EC-SDC-Tandem-1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SDC-Tandem	1	LB medium	Run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-5-37.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-5-37.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SDC-Tandem
EC-SDC-Tandem-2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SDC-Tandem	2	LB medium	Run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-5-38.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-5-38.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SDC-Tandem
EC-SDC-Tandem-3	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SDC-Tandem	3	LB medium	Run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-5-39.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-5-39.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SDC-Tandem
EC-SDC-Tandem-4	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SDC-Tandem	4	LB medium	Run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-5-40.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	NT=LysC; AC=1001309	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-5-40.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SDC-Tandem
EC-SLS-Trypsin-1	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SLS-Trypsin	1	LB medium	Run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-6-1.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-6-1.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SLS-Trypsin
EC-SLS-Trypsin-2	Escherichia coli	Cell lysate	Escherichia coli str. K-12 substr. MG1655	Not applicable	Prokaryotic cell	EC-SLS-Trypsin	2	LB medium	Run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	EC-6-2.raw	1	Label free sample	NT=Q Exactive	NT=Trypsin;AC=1001251	Not Applicable	0.02 Da	10 ppm	TCEP	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/04/PXD013273/EC-6-2.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	EC-SLS-Trypsin
