source name	assay name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[age]	characteristics[ancestry category]	characteristics[sex]	characteristics[disease]	characteristics[developmental stage]	characteristics[biological replicate]	characteristics[individual]	comment[proteomexchange accession number]	comment[data file]	comment[file uri]	comment[fraction identifier]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[cleavage agent details]	comment[label]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[technical replicate]	factor value[disease]
Sample 1	run 1	homo sapiens	Caco-2 cells	not available	not available	not available	not available	Control	not available	1	1	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT126	0.5 Da	20 ppm	1	Control
Sample 1	run 2	homo sapiens	Caco-2 cells	not available	not available	not available	not available	Control	not available	1	2	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT127C	0.5 Da	20 ppm	1	Control
Sample 1	run 3	homo sapiens	Caco-2 cells	not available	not available	not available	not available	Control	not available	1	3	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT127N	0.5 Da	20 ppm	1	Control
Sample 1	run 4	homo sapiens	Caco-2 cells	not available	not available	not available	not available	Control	not available	1	4	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT128C	0.5 Da	20 ppm	1	Control
Sample 1	run 5	homo sapiens	Caco-2 cells	not available	not available	not available	not available	Control	not available	1	5	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT128N	0.5 Da	20 ppm	1	Control
Sample 1	run 6	homo sapiens	Caco-2 cells	not available	not available	not available	not available	SARS-Cov2_infected	not available	1	6	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT129C	0.5 Da	20 ppm	1	SARS-Cov2_infected
Sample 1	run 7	homo sapiens	Caco-2 cells	not available	not available	not available	not available	SARS-Cov2_infected	not available	1	7	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT129N	0.5 Da	20 ppm	1	SARS-Cov2_infected
Sample 1	run 8	homo sapiens	Caco-2 cells	not available	not available	not available	not available	SARS-Cov2_infected	not available	1	8	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT130C	0.5 Da	20 ppm	1	SARS-Cov2_infected
Sample 1	run 9	homo sapiens	Caco-2 cells	not available	not available	not available	not available	SARS-Cov2_infected	not available	1	9	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT130N	0.5 Da	20 ppm	1	SARS-Cov2_infected
Sample 1	run 10	homo sapiens	Caco-2 cells	not available	not available	not available	not available	SARS-Cov2_infected	not available	1	10	PXD018357	20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2020/05/PXD018357/20200317_KKL_CoV2_24h_5v5_F1_20200318175539.raw	1	AC=MS:1002732;NT=Orbitrap Fusion Lumos	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed		NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Met-loss;MT=Variable;PP=Protein N-term;AC=UNIMOD:765	NT=Met-loss+Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:766	NT=Acetyl;MT=Variable;PP=Protein N-term;AC=UNIMOD:1	AC=MS:1001251;NT=Trypsin	AC=MS:1001309;NT=Lys-C	TMT131	0.5 Da	20 ppm	1	SARS-Cov2_infected
