source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[growth phase]	characteristics[optical density]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[dissociation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
ATCC1	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_01.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_01.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC2	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 2	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_02.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_02.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC3	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 3	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_03.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_03.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC4	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 4	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_04.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_04.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC5	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	5	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 5	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_05.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_05.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC6	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	6	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 6	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_06.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_06.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC_KO1	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	1	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 7	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_01.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_01.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC_KO2	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	2	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 8	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_02.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_02.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC_KO3	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	3	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 9	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_03.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_03.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
ATCC_KO4	Escherichia coli	Cell lysate	Escherichia coli ATCC 25922	Not applicable	Prokaryotic cell	Ciprofloxacin	4	LB medium	Ciprofloxacin	37°C	Exponential phase	0.5	run 10	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_04.raw	1	Label free sample	NT=Q Exactive HF	NT=Trypsin;AC=1001251	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481	https://ftp.pride.ebi.ac.uk/pride/data/archive/2024/04/PXD050358/2020-03-24_QE_BK166_AR_Ecoli_Cipro_ATTC_recA_KO_04.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0
