source name	characteristics[organism]	characteristics[organism part]	characteristics[ancestry category]	characteristics[age]	characteristics[developmental stage]	characteristics[sex]	characteristics[cell line]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	material type	assay name	comment[fraction identifier]	comment[technical replicate]	comment[file uri]	comment[dissociation method]	comment[instrument]	comment[MS2 analyzer type]	comment[label]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[data file]	factor value[treatment]
Sample 1	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	1	cell line	run 1	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR1_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable 	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR1_TR1.raw	control condition
Sample 2	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	2	cell line	run 2	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR2_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable 	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR2_TR1.raw	control condition
Sample 2	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	2	cell line	run 3	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR2_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR2_TR2.raw	control condition
Sample 3	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	3	cell line	run 4	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR3_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR3_TR1.raw	control condition
Sample 3	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	3	cell line	run 5	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR3_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR3_TR2.raw	control condition
Sample 4	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	4	cell line	run 6	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR4_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR4_TR1.raw	control condition
Sample 4	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	4	cell line	run 7	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR4_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR4_TR2.raw	control condition
Sample 5	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	5	cell line	run 8	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR5_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR5_TR1.raw	control condition
Sample 5	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	5	cell line	run 9	1	2	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR5_TR2.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR5_TR2.raw	control condition
Sample 6	Homo sapiens	cervix	Black	31Y	adult	female	HeLa cells	adenocarcinoma	epithelial	control condition	6	cell line	run 10	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2014/09/PXD001061/QE_IA_QQTGG_Control_BR6_TR1.raw	HCD	NT=Q Exactive;AC=MS:1001911	not available	NT=label free sample;AC=MS:1002038	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;TA=C;AC=UNIMOD:4;MT=fixed	NT=Oxidation;TA=M;AC=UNIMOD:35;MT=Variable	NT=Carbamyl;PP=Peptide N-term;AC=UNIMOD:5;MT=Variable	NT=Acetyl;PP=Any N-term;AC=UNIMOD:1;MT=Variable	NT=QQTGG;PP=Not peptide C-term;TA=K;MM=471.20776;MT=Variable	NT=Pyro-QQTGG;PP=Not peptide C-term;TA=K;MM=454.18121;MT=Variable	25 NCE	6 ppm	20 ppm	QE_IA_QQTGG_Control_BR6_TR1.raw	control condition
