Fraction_Group,Fraction,Spectra_Filepath,Label,Sample,Note:,,
1,1,SPECTRAFILE_F1_TR1.mzML,1,1,Samples may only be repeated in fractions of the same run,,
1,2,SPECTRAFILE_F2_TR1.mzML,1,1,,,
1,3,SPECTRAFILE_F3_TR1.mzML,1,1,,,
1,1,SPECTRAFILE_F1_TR1.mzML,2,2,,,
1,2,SPECTRAFILE_F2_TR1.mzML,2,2,,,
1,3,SPECTRAFILE_F3_TR1.mzML,2,2,,,
1,1,SPECTRAFILE_F1_TR1.mzML,3,3,,,
1,2,SPECTRAFILE_F2_TR1.mzML,3,3,,,
1,3,SPECTRAFILE_F3_TR1.mzML,3,3,,,
1,1,SPECTRAFILE_F1_TR1.mzML,4,4,,,
1,2,SPECTRAFILE_F2_TR1.mzML,4,4,,,
1,3,SPECTRAFILE_F3_TR1.mzML,4,4,,,
2,1,SPECTRAFILE_F1_TR2.mzML,1,5,,,
2,2,SPECTRAFILE_F2_TR2.mzML,1,5,,,
2,3,SPECTRAFILE_F3_TR2.mzML,1,5,,,
2,1,SPECTRAFILE_F1_TR2.mzML,2,6,,,
2,2,SPECTRAFILE_F2_TR2.mzML,2,6,,,
2,3,SPECTRAFILE_F3_TR2.mzML,2,6,,,
2,1,SPECTRAFILE_F1_TR2.mzML,3,7,,,
2,2,SPECTRAFILE_F2_TR2.mzML,3,7,,,
2,3,SPECTRAFILE_F3_TR2.mzML,3,7,,,
2,1,SPECTRAFILE_F1_TR2.mzML,4,8,,,
2,2,SPECTRAFILE_F2_TR2.mzML,4,8,,,
2,3,SPECTRAFILE_F3_TR2.mzML,4,8,,,
,,,,,,,...
Sample,Sample_name,"Numeric Factor ""concentration [mmol/l]""","Categorical Factor ""sex""","Categorical Factor ""time point""",Biological_Replicate,,
1,sample_dog,0.434,male,1,1,,
2,sample_cat,223.34,male,1,1,,
3,sample_mouse,234,female,1,1,,
4,sample_blanck,243,male,1,1,,
5,sample_dog,0.434,male,1,1,,
6,sample_cat,223.34,male,1,1,,
7,sample_mouse,234,female,1,1,,
8,sample_blanck,243,male,1,1,,
label-free,,,,,,,
Fraction_Group,Fraction,Spectra_Filepath,Label,Sample,,,
1,1,SPECTRAFILE_DOG_F1_TR1.mzML,1,1,,,
1,2,SPECTRAFILE_DOG_F2_TR1.mzML,1,1,,,
1,3,SPECTRAFILE_DOG_F3_TR1.mzML,1,1,,,
2,1,SPECTRAFILE_DOG_F1_TR2.mzML,1,2,,,
2,2,SPECTRAFILE_DOG_F2_TR2.mzML,1,2,,,
2,3,SPECTRAFILE_DOG_F3_TR2.mzML,1,2,,,
3,1,SPECTRAFILE_CAT_F1_TR1.mzML,1,3,,,
3,2,SPECTRAFILE_CAT_F2_TR1.mzML,1,3,,,
3,3,SPECTRAFILE_CAT_F3_TR1.mzML,1,3,,,
4,1,SPECTRAFILE_CAT_F1_TR2.mzML,1,4,,,
4,2,SPECTRAFILE_CAT_F2_TR2.mzML,1,4,,,
4,3,SPECTRAFILE_CAT_F3_TR2.mzML,1,4,,,
,,,,,,,
Condition,Sample name,"Numeric Factor ""concentration [mmol/l]""","Categorical Factor ""sex""","Categorical Factor ""time point""",Biological Replicate,Technical Replicate,
1,sample_dog,0.434,male,1,1,1,
2,sample_dog,0.434,male,1,1,1,
3,sample_cat,223.34,male,1,1,2,
4,sample_cat,223.34,male,1,1,2,
