source name	characteristics[organism]	characteristics[organism part]	characteristics[organism part]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[disease]	characteristics[developmental stage]	characteristics[cell type]	characteristics[individual]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[cleavage agent details]	comment[collision energy]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[data file]
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR01.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	1	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR01.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR02.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	2	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR02.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR03.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	3	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR03.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR04.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	4	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR04.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR05.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	5	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR05.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR06.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	6	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR06.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR07.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	7	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR07.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR08.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	8	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121008_A0218_4B_R_FR08.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR09.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	9	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR09.raw
Sample 1	Homo sapiens	colon	rectum	not available	not available	not available	colon and rectal tumors	not available	not applicable	not available	1	tissue	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD002049/TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR10.raw	NT=Reversed-phase chromatography;AC=PRIDE:0000563	1	10	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Velos;AC=MS:1001742	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=Fixed	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	AC=MS:1001251;NT=Trypsin	35% NCE	not available	10 ppm	TCGA-AG-A00H-01A-31_W_VU_20121009_A0218_4B_R_FR10.raw
