source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	characteristics[genetic background]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[optical density]	characteristics[growth phase]	assay name	technology type	comment[technical replicate]	comment[proteomics data acquisition method]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[alkylation reagent]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[file uri]	comment[sdrf version]	comment[sdrf template]
Sample 1	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 1	Proteomic profiling by mass spectrometry	1	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020296.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020296.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 2	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 2	Proteomic profiling by mass spectrometry	2	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020300.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020300.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 3	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 3	Proteomic profiling by mass spectrometry	3	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020322.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020322.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 4	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 4	Proteomic profiling by mass spectrometry	4	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020419.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020419.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 5	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 5	Proteomic profiling by mass spectrometry	5	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020427.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020427.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 6	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 6	Proteomic profiling by mass spectrometry	6	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020448.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020448.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 7	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 7	Proteomic profiling by mass spectrometry	7	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020460.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020460.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 8	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 8	Proteomic profiling by mass spectrometry	8	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020461.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020461.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 9	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 9	Proteomic profiling by mass spectrometry	9	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020481.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020481.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
Sample 10	Escherichia coli	Cell lysate	Escherichia coli DH5	Not applicable	Prokaryotic cell	1	Plasmid UC19	LB medium	Carbenicillin	37°C	0.6	Exponential phase	Run 10	Proteomic profiling by mass spectrometry	10	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEx2_020482.raw	1	Label free sample	NT=Q Exactive Plus	NT=Trypsin;AC=1001251	0.025 Da	10 ppm	DTT	IAA	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Oxidation; MT=Variable; TA=M	NT=Acetyl; MT=Variable; PP=Protein N-term	NT=HCD; AC=MS:1002481	30% NCE	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/12/PXD016669/QEx2_020482.raw	v1.1.0	NT=ms-proteomics;VV=v1.1.0
