source name	characteristics[organism]	characteristics[organism part]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[age]	characteristics[sex]	characteristics[disease]	characteristics[individual]	assay name	comment[data file]	comment[fraction identifier]	comment[label]	comment[technical replicate]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[file uri]	factor value[cell line]
414C2-43_1	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run1	120124ry_414C2-43_1_1.wiff	1	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	https://repository.jpostdb.org/data/JPST000083.0/120124ry_414C2-43_1_1.wiff	414C2-P43
414C2-43_1	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run2	120124ry_414C2-43_1_2.wiff	2	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:36	https://repository.jpostdb.org/data/JPST000083.0/120124ry_414C2-43_1_2.wiff	414C2-P43
414C2-43_1	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run3	120124ry_414C2-43_1_3.wiff	3	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:37	https://repository.jpostdb.org/data/JPST000083.0/120124ry_414C2-43_1_3.wiff	414C2-P43
414C2-43_1	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run4	120124ry_414C2-43_1_4.wiff	4	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:38	https://repository.jpostdb.org/data/JPST000083.0/120124ry_414C2-43_1_4.wiff	414C2-P43
414C2-43_1	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run5	120124ry_414C2-43_1_5.wiff	5	label free sample	1	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	https://repository.jpostdb.org/data/JPST000083.0/120124ry_414C2-43_1_5.wiff	414C2-P43
414C2-43_3	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run1	120212ry_414C2-43_3_1.wiff	1	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	https://repository.jpostdb.org/data/JPST000083.0/120212ry_414C2-43_3_1.wiff	414C2-P43
414C2-43_3	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run2	120212ry_414C2-43_3_2.wiff	2	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	https://repository.jpostdb.org/data/JPST000083.0/120212ry_414C2-43_3_2.wiff	414C2-P43
414C2-43_3	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run3	120212ry_414C2-43_3_3.wiff	3	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	https://repository.jpostdb.org/data/JPST000083.0/120212ry_414C2-43_3_3.wiff	414C2-P43
414C2-43_3	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run4	120212ry_414C2-43_3_4.wiff	4	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	https://repository.jpostdb.org/data/JPST000083.0/120212ry_414C2-43_3_4.wiff	414C2-P43
414C2-43_3	Homo sapiens	not available	414C2-P43	induced pluripotent stem cell	not available	not available	not available	not available	not available	run5	120212ry_414C2-43_3_5.wiff	5	label free sample	2	NT=TripleTOF 5600;AC=MS:1000932	NT=Data-Dependent Acquisition;AC=NCIT:C161785	AC=MS:1001252;NT=Trypsin	NT=Lys-C;AC=MS:1001309	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:39	https://repository.jpostdb.org/data/JPST000083.0/120212ry_414C2-43_3_5.wiff	414C2-P43
