source name	characteristics[organism]	characteristics[organism part]	characteristics[age]	characteristics[cell line]	characteristics[cell type]	characteristics[ancestry category]	characteristics[developmental stage]	characteristics[sex]	characteristics[disease]	characteristics[phenotype]	characteristics[individual]	characteristics[enrichment process]	characteristics[biological replicate]	material type	assay name	technology type	comment[label]	comment[data file]	comment[file uri]	comment[fractionation method]	comment[technical replicate]	comment[fraction identifier]	comment[cleavage agent details]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[phenotype]	factor value[enrichment process]
Sample 1	Homo sapiens	breast	50Y	HCC38	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C1.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 1	Homo sapiens	breast	50Y	HCC38	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C1_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C1_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	breast	50Y	HCC38	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C1b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C1b.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 2	Homo sapiens	breast	50Y	HCC38	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C1b_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C1b_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 3	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3b.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3b.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 4	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3b_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3b_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 5	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3c.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3c.raw	not available	1	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
Sample 5	Homo sapiens	breast	51Y	MDA-MB-231	Epithelial	Caucasian	adult	female	Triple-negative breast cancer	indolent	not applicable	enrichment of phosphorylated Protein	1	cell line	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	20131217_OR8_RP_HP_C3c_rr.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/07/PXD008012/20131217_OR8_RP_HP_C3c_rr.raw	not available	2	1	NT=Trypsin;AC=MS:1001251	NT=Lys-C;AC=MS:1001309	AC=MS:1000484; NT=Orbitrap	NT=LTQ Orbitrap Elite;AC=MS:1001910	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;PP=Protein N-term;MT=variabl	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	AC=MS:1000133;NT=CID	35% NCE	20 ppm	not available	indolent	enrichment of phosphorylated Protein
