source name	characteristics[organism]	characteristics[organism part]	characteristics[disease]	characteristics[cell type]	characteristics[biological replicate]	assay name	comment[fraction identifier]	comment[technical replicate]	comment[Instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[dissociation method]	comment[data file]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]
PXD016485_E1_20181010_HS_930_JK_IP_A1	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_A1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_A1P	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_A1P.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_A2	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_A2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_A2P	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	1	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_A2P.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_B1	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_B1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_B1P	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_B1P.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_B2	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_B2.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_B2P	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	2	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_B2P.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_C1	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	3	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_C1.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
PXD016485_E1_20181010_HS_930_JK_IP_C1P	Caenorhabditis elegans	Whole organism	not avalaible	not avalaible	3	not avalaible	not avalaible	not avalaible	not avalaible	0.006 Da	0.1 Da	NT=HCD	E1_20181010_HS_930_JK_IP_C1P.mgf	NT=Trypsin/P;AC=MS:1001313;CS=(?<=[KR])	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Fixed;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Fixed;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Fixed;TA=C;MM=71.037114	NT=Carbamidomethyl;AC=UNIMOD:4;CF=C(2)H(3)N(1)O(1);MT=Variable;TA=C;MM=57.021464	NT=Oxidation;AC=UNIMOD:35;CF=O(1);MT=Variable;TA=M;MM=15.994915	NT=Propionamide;AC=UNIMOD:24;CF=C(3)H(5)N(1)O(1);MT=Variable;TA=C;MM=71.037114
