#fileformat=SDRF
#version=v1.1.0
#template=default
#template_version=v1.1.0
source name	characteristics[organism]	characteristics[organism part]	characteristics[strain/breed]	characteristics[disease]	characteristics[cell type]	characteristics[treatment]	characteristics[biological replicate]	characteristics[enrichment process]	characteristics[medium]	characteristics[temperature]	assay name	technology type	comment[technical replicate]	comment[data file]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[cleavage agent details]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	comment[modification parameters]	comment[dissociation method]
HFX1_FPEP19H000623-4A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O2:K1; ST95	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 1	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000623-4A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HFX1_FPEP19H000623-5A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O2:K1; ST95	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 1	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000623-5A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HFX1_FPEP19H000623-6A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O2:K1; ST95	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 1	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000623-6A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HFX1_FPEP19H000625-4A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O6:K2; ST73	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 2	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000625-4A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HFX1_FPEP19H000625-5A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O6:K2; ST73	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 2	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000625-5A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HFX1_FPEP19H000625-6A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O6:K2; ST73	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 2	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000625-6A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HFX1_FPEP19H000624-4A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O2:K1; ST117	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 3	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000624-4A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HFX1_FPEP19H000624-5A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O2:K1; ST117	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 3	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000624-5A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HFX1_FPEP19H000624-6A.raw	Escherichia coli	Extracellular Vesicles	Escherichia coli str. O2:K1; ST117	Not applicable	Prokaryotic cell	Not applicable	1	Ultracentrifugation	LB medium	37°C	run 3	Proteomic profiling by mass spectrometry	1	HFX1_FPEP19H000624-6A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
HF3_FFRA200000351-1A.raw	Escherichia coli	Cell lysate	Escherichia coli str. O2:K1; ST95	Not applicable	Prokaryotic cell	Not applicable	1	Not applicable	Not available	Not available	run 4	Proteomic profiling by mass spectrometry	1	HF3_FFRA200000351-1A.raw	1	Label free sample	NT=Q Exactive HF-X	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	Not available	Not available	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=HCD; AC=MS:1002481
