#file_format=SDRF
#version=v1.1.0
#template=ms-proteomics
#template_version=v1.1.0
source name	characteristics[biological replicate]	characteristics[cell type]	characteristics[disease]	characteristics[organism part]	characteristics[organism]	characteristics[strain/breed]	characteristics[treatment]	characteristics[enrichment process]	characteristics[medium]	characteristics[medium supplements]	characteristics[temperature]	characteristics[growth phase]	assay name	technology type	comment[alkylation reagent]	comment[cleavage agent details]	comment[collision energy]	comment[compensation voltage]	comment[proteomics data acquisition method]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[reduction reagent]	comment[technical replicate]	comment[tool metadata]
20210425_LCC_ZK_Input_40V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	yiaC knockout	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 1	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-40V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Input_40V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	1	lesSDRF v0.1.0
20210425_LCC_ZK_Input_60V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	yiaC knockout	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 2	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-60V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Input_60V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	2	lesSDRF v0.1.0
20210425_LCC_ZK_Input_80V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	yiaC knockout	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 3	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-80V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Input_80V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	3	lesSDRF v0.1.0
20210425_LCC_ZK_Elute_40V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	yiaC knockout	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 4	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-40V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Elute_40V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	1	lesSDRF v0.1.0
20210425_LCC_ZK_Elute_60V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	yiaC knockout	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 5	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-60V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Elute_60V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	2	lesSDRF v0.1.0
20210425_LCC_ZK_Elute_80V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	yiaC knockout	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 6	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-80V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Elute_80V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC heavy L:13C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	3	lesSDRF v0.1.0
20210425_LCC_ZK_Input_40V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 1	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-40V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Input_40V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC light L:12C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	1	lesSDRF v0.1.0
20210425_LCC_ZK_Input_60V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 2	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-60V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Input_60V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC light L:12C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	2	lesSDRF v0.1.0
20210425_LCC_ZK_Input_80V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 3	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-80V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Input_80V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC light L:12C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	3	lesSDRF v0.1.0
20210425_LCC_ZK_Elute_40V.raw	1	Prokaryotic cell	Not applicable	Cell lysate	Escherichia coli	Escherichia coli str. K-12 substr. MG1655	control	Lactyllysine immunoaffinity enrichment	M9 medium	Glucose	37°C	Mid exponential phase	run 4	Proteomic profiling by mass spectrometry	IAA	NT=Trypsin; AC=1001251; CS=(?⇐[KR])(?!P)	30 %	-40V	NT=Data-dependent acquisition;AC=PRIDE:0000627	20210425_LCC_ZK_Elute_40V.raw	NT=HCD; AC=MS:1002481	1	0.02 Da	Orbitrap Eclipse	SILAC light L:12C(6)	NT=Carbamidomethyl;AC=4;CF=H(3) C(2) N O;MM=57.021464;MT=Fixed;PP=Anywhere;TA=['C']	NT=Label:13C(6);AC=188;CF=C(-6) 13C(6);MM=6.020129;MT=Variable;PP=Anywhere;TA=['L']	10 ppm	DTT	1	lesSDRF v0.1.0
