source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	characteristics[disease]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[instrument]	comment[proteomics data acquisition method]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fractionation method]	comment[file uri]	comment[sdrf version]	comment[sdrf template]	factor value[organism]
Rice	Oryza sativa	not available	not available	not available	1	not available	run 1	proteomic profiling by mass spectrometry	Rice01.RAW	1	1	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice01.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 2	proteomic profiling by mass spectrometry	Rice02.RAW	1	2	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice02.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 3	proteomic profiling by mass spectrometry	Rice03.RAW	1	3	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice03.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 4	proteomic profiling by mass spectrometry	Rice04.RAW	1	4	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice04.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 5	proteomic profiling by mass spectrometry	Rice05.RAW	1	5	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice05.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 6	proteomic profiling by mass spectrometry	Rice06.RAW	1	6	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice06.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 7	proteomic profiling by mass spectrometry	Rice07.RAW	1	7	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice07.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 8	proteomic profiling by mass spectrometry	Rice08.RAW	1	8	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice08.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 9	proteomic profiling by mass spectrometry	Rice09.RAW	1	9	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice09.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
Rice	Oryza sativa	not available	not available	not available	1	not available	run 10	proteomic profiling by mass spectrometry	Rice10.RAW	1	10	label free sample	NT=LTQ Orbitrap XL;AC=MS:1000556	NT=Data-dependent acquisition;AC=PRIDE:0000627	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;AC=UNIMOD:4;TA=C;MT=Fixed	NT=Acetyl;MT=variable;TA=N-term;AC=UNIMOD:1	NT=Gln->pyro-Glu;MT=variable;TA=Q;AC=UNIMOD:28	NT=Glu->pyro-Glu;MT=variable;TA=E;AC=UNIMOD:27	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=SDS-PAGE;AC=PRIDE:0000568	https://repository.jpostdb.org/data/JPST000156.0/Rice10.RAW	v1.1.0	NT=ms-proteomics;VV=v1.1.0	Oryza sativa
