source name	characteristics[age]	characteristics[ancestry category]	characteristics[biological replicate]	characteristics[cell type]	characteristics[compound]	characteristics[concentration of compound]	characteristics[developmental stage]	characteristics[disease]	characteristics[enrichment process]	characteristics[individual]	characteristics[organism part]	characteristics[organism]	characteristics[sex]	assay name	technology type	comment[cleavage agent details]	comment[cleavage agent details]	comment[data file]	comment[dissociation method]	comment[fraction identifier]	comment[fractionation method]	comment[fragment mass tolerance]	comment[instrument]	comment[label]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[precursor mass tolerance]	comment[technical replicate]	factor value[compound]
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr10	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr10.raw	higher energy beam-type collision-induced dissociation	10	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr11	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr11.raw	higher energy beam-type collision-induced dissociation	11	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr12	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr12.raw	higher energy beam-type collision-induced dissociation	12	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr13	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr13.raw	higher energy beam-type collision-induced dissociation	13	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr14	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr14.raw	higher energy beam-type collision-induced dissociation	14	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr15	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr15.raw	higher energy beam-type collision-induced dissociation	15	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr16	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr16.raw	higher energy beam-type collision-induced dissociation	16	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr20	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr20.raw	higher energy beam-type collision-induced dissociation	20	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_2	Not available	Not available	2	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr20_II	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr20_II.raw	higher energy beam-type collision-induced dissociation	20	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
OR4_BioRep_1	Not available	Not available	1	platelet	PAR-4	4mM	Not available	normal	enrichment of phosphorylated protein	1	Not applicable	Homo sapiens	Not available	OR4_110719_OB_PAR14_sSCX_fr21	proteomic profiling by mass spectrometry	Lys-C	Trypsin	OR4_110719_OB_PAR14_sSCX_fr21.raw	higher energy beam-type collision-induced dissociation	21	Ion-exchange chromatography	not available	LTQ Orbitrap Velos	SILAC heavy	NT=Carbamidomethyl;AC=Unimod:4;MT=Fixed;PP=Anywhere;TA=C	NT=Hydroxylation;AC=Unimod:35;MT=Variable;PP=Anywhere;TA=M	NT=Dimethyl-Heavy;AC=Unimod:330;MT=Variable;PP=Any N-term;TA=K	"NT=Phospho;AC=Unimod:21;MT=Variable;PP=Anywhere;TA=T,S,Y"	not available	1	PAR-4
