source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[disease]	characteristics[mass]	characteristics[spiked compound]	characteristics[biological replicate]	characteristics[material type]	assay name	technology type	comment[label]	comment[instrument]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters].1	comment[modification parameters].2	comment[technical replicate]	comment[fraction identifier]	comment[file uri]	comment[proteomics data acquisition method]	comment[data file]	comment[sdrf version]	comment[sdrf template]	factor value[spiked compound]
10amol_1	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 1	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_02.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_02.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group
10amol_2	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 2	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_31.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_31.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group
10amol_3	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 3	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_61.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_61.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group
10amol_4	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 4	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_113.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_113.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=10 amol;CN=UPS1;CV=Standards Research Group
50amol_1	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 5	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_04.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_04.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
50amol_3	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 6	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_63.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_63.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
50amol_2	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 7	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	3	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_34.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_34.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
50amol_4	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 8	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	4	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_115.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_115.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=50 amol;CN=UPS1;CV=Standards Research Group
100amol_1	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=100 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 9	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	1	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_06.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_06.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=100 amol;CN=UPS1;CV=Standards Research Group
100amol_3	Saccharomyces cerevisiae	not available	not available	not available	1 ug	CT=mixture;QY=100 amol;CN=UPS1;CV=Standards Research Group	1	lysate	run 10	proteomic profiling by mass spectrometry	AC=MS:1002038;NT=label free sample	AC=MS:1001911;NT=Q Exactive	5 ppm	0.07 Da	NT=trypsin/P;AC=MS:1001313	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:67;PP=Protein N-term;MT=variable	2	1	https://ftp.pride.ebi.ac.uk/pride/data/archive/2020/03/PXD009815/QEKAC160601_65.raw	NT=Data-dependent acquisition;AC=PRIDE:0000627	QEKAC160601_65.raw	v1.1.0	NT=ms-proteomics;version=v1.1.0	CT=mixture;QY=100 amol;CN=UPS1;CV=Standards Research Group
