source name	characteristics[organism]	characteristics[organism part]	characteristics[developmental stage]	characteristics[disease]	characteristics[age]	characteristics[sex]	characteristics[ancestry category]	characteristics[cell type]	characteristics[cell line]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[fractionation method]	comment[label]	comment[cleavage agent details]	comment[ms2 mass analyzer]	comment[instrument]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 1	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr01.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr01.raw	1	1	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 2	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr02.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr02.raw	1	2	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 3	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr03.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr03.raw	1	3	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 4	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr04.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr04.raw	1	4	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 5	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr05.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr05.raw	1	5	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 6	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr06.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr06.raw	1	6	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 7	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr07.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr07.raw	1	7	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 8	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr08.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr08.raw	1	8	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 9	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr09.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr09.raw	1	9	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 10	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr10.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr10.raw	1	10	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 11	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr11.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr11.raw	1	11	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 12	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr12.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr12.raw	1	12	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
Sample 1	Homo sapiens	not applicable	not available	Colorectal adenocarcinoma	50Y	male	Caucasian	epithelial	SW480	1	cell	run 13	proteomic profiling by mass spectrometry	A0253_kfs_20140421r_SW480_fr13.raw	ftp://massive.ucsd.edu/MSV000080374/raw/RAW/A0253_kfs_20140421r_SW480_fr13.raw	1	13	AC=PRIDE:0000563;NT=Reversed-phase chromatography (RP)	AC=MS:1002038;NT=label free sample	NT=Trypsin;AC=MS:1001251	not available	NT=Q Exactive;AC=MS:1001911	not available	not available	not available	not available	not available	SW480
