source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[collision energy]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[modification parameters]	factor value[modification parameters]	factor value[modification parameters]	factor value[modification parameters]	factor value[modification parameters]
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 1	proteomic profiling by mass spectrometer	b1906_293T_proteinID_01A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1906_293T_proteinID_01A_QE3_122212.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 2	proteomic profiling by mass spectrometer	b1922_293T_proteinID_02A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1922_293T_proteinID_02A_QE3_122212.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 3	proteomic profiling by mass spectrometer	b1923_293T_proteinID_03A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1923_293T_proteinID_03A_QE3_122212.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 4	proteomic profiling by mass spectrometer	b1924_293T_proteinID_04A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1924_293T_proteinID_04A_QE3_122212.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 5	proteomic profiling by mass spectrometer	b1925_293T_proteinID_05A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1925_293T_proteinID_05A_QE3_122212.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 6	proteomic profiling by mass spectrometer	b1926_293T_proteinID_06A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1926_293T_proteinID_06A_QE3_122212.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 7	proteomic profiling by mass spectrometer	b1927_293T_proteinID_07A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1927_293T_proteinID_07A_QE3_122212.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 8	proteomic profiling by mass spectrometer	b1928_293T_proteinID_08A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1928_293T_proteinID_08A_QE3_122212.raw	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 9	proteomic profiling by mass spectrometer	b1929_293T_proteinID_09A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1929_293T_proteinID_09A_QE3_122212.raw	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
Sample 1	Homo sapiens	kidney	epithelial	HEK-293 cell	embryo stage	not available	not available	not available	not applicable	1	cell	run 10	proteomic profiling by mass spectrometer	b1930_293T_proteinID_10A_QE3_122212.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/06/PXD001468/b1930_293T_proteinID_10A_QE3_122212.raw	1	10	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT=Q Exactive;AC=MS:1001911	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	AC=MS:1000422;NT=HCD	25% NCE	5 ppm	0.01 Da	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Deamidated;MT=Variable;TA=N,Q;AC=UNIMOD:7	NT=Phospho;MT=Variable;TA=S,T;AC=UNIMOD:21	NT=Gln->pyro-Glu;MT=Variable;TA=Q;PP=Any N-term;AC=UNIMOD:28	NT= Carbamyl;MT=Variable;TA=K;AC=UNIMOD:5
