Source Name	Characteristics[organism]	Characteristics[organism part]	Characteristics[cell type]	Characteristics[cell line]	Characteristics[enrichment process]	Characteristics[disease]	Characteristics[biological replicate]	Assay Name	Comment[technical replicate]	Comment[fraction identifier]	Comment[file uri]	Characteristics[developmental stage]	Comment[instrument]	Comment[label]	Comment[cleavage agent details]	Comment[modification parameters]	Comment[modification parameters]	Comment[modification parameters]	Comment[dissociation method]	Comment[collision energy]	Comment[precursor mass tolerance]	Comment[fragment mass tolerance]	Comment[data file]	Material Type
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 1	1	1	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr01.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr01.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 2	1	2	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr02.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr02.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 3	1	3	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr03.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr03.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 4	1	4	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr04.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr04.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 5	1	5	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr05.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr05.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 6	1	6	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr06.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr06.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 7	1	7	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr07.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr07.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 8	1	8	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr08.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr08.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 9	1	9	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr09.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr09.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 11	1	10	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr10.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr10.raw	cell
Sample 1	Rattus norvegicus	breast	epithelial cells	MDA-MB-231 breast cancer cell line	no enrichment	Breast cancer	3	run 12	1	11	ftp://ftp.pride.ebi.ac.uk/pride/data/archive/2017/09/PXD006430/ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr11.raw	not available	NT=LTQ Orbitrap Velos;AC=MS:1000031	NT=TMT reagent;AC=MS:1002615	NT=Trypsin;AC=MS:1001251	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=oxidation;MT=variable;TA=M;AC=UNIMOD:35	"NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21"	not applicable	35% CE	10 ppm	0.02 Da	ElenaP_shTRAP_TMT10_750ugIPG3-10_4of15ul_fr11.raw	cell
