source name	characteristics[organism]	characteristics[strain]	characteristics[organism part]	characteristics[cell type]	characteristics[cell part]	characteristics[developmental stage]	characteristics[disease]	characteristics[sampling time]	characteristics[phenotype]	characteristics[biological replicate]	characteristics[enrichment process]	assay name	technology type	comment[data file]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[file uri]	comment[instrument]	comment[cleavage agent details]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[modification parameters]	comment[fragment mass tolerance]	comment[precursor mass tolerance]	factor value[phenotype]	factor value[sampling time]
AJ_CTRL_Heart_Cyto_d00	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	1	enrichment of phosphorylated Protein	run 1	proteomic profiling by mass spectrometry	AJ_CTRL_Heart_Cyto_d00_A01.raw	1	1	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_CTRL_Heart_Cyto_d00_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0
AJ_ISO_Heart_Cyto_d01	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	1	hypertrophy groups	1	enrichment of phosphorylated Protein	run 1	proteomic profiling by mass spectrometry	AJ_ISO_Heart_Cyto_d01_A01.raw	1	1	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d01_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	1
BALB_CTRL_Heart_Cyto_d00	Mus musculus	BALB/cJ	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	1	enrichment of phosphorylated Protein	run 1	proteomic profiling by mass spectrometry	BALB_CTRL_Heart_Cyto_d00_A01.raw	1	1	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d00_A01.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0
AJ_CTRL_Heart_Cyto_d00	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	1	enrichment of phosphorylated Protein	run 2	proteomic profiling by mass spectrometry	AJ_CTRL_Heart_Cyto_d00_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_CTRL_Heart_Cyto_d00_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0
AJ_ISO_Heart_Cyto_d01	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	1	hypertrophy groups	1	enrichment of phosphorylated Protein	run 2	proteomic profiling by mass spectrometry	AJ_ISO_Heart_Cyto_d01_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d01_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	1
BALB_CTRL_Heart_Cyto_d00	Mus musculus	BALB/cJ	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	1	enrichment of phosphorylated Protein	run 2	proteomic profiling by mass spectrometry	BALB_CTRL_Heart_Cyto_d00_A02.raw	1	2	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d00_A02.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0
AJ_CTRL_Heart_Cyto_d00	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	1	enrichment of phosphorylated Protein	run 3	proteomic profiling by mass spectrometry	AJ_CTRL_Heart_Cyto_d00_A03.raw	1	3	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_CTRL_Heart_Cyto_d00_A03.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0
AJ_ISO_Heart_Cyto_d01	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	1	hypertrophy groups	1	enrichment of phosphorylated Protein	run 3	proteomic profiling by mass spectrometry	AJ_ISO_Heart_Cyto_d01_A03.raw	1	3	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_ISO_Heart_Cyto_d01_A03.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	hypertrophy groups	1
BALB_CTRL_Heart_Cyto_d00	Mus musculus	BALB/cJ	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	1	enrichment of phosphorylated Protein	run 3	proteomic profiling by mass spectrometry	BALB_CTRL_Heart_Cyto_d00_A03.raw	1	3	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/BALB_CTRL_Heart_Cyto_d00_A03.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0
AJ_CTRL_Heart_Cyto_d00	Mus musculus	A/J	Heart	cardiac	Cytosol	9W-12W	normal	0	Control	1	enrichment of phosphorylated Protein	run 4	proteomic profiling by mass spectrometry	AJ_CTRL_Heart_Cyto_d00_A04.raw	1	4	NT=metabolic label;AC=PRIDE:0000597	https://ftp.pride.ebi.ac.uk/pride/data/archive/2015/09/PXD002870/AJ_CTRL_Heart_Cyto_d00_A04.raw	AC=MS:1001910;NT=LTQ Orbitrap Elite	AC=MS:1001251;NT=Trypsin	NT=Carbamidomethyl;TA=C;MT=fixed;AC=UNIMOD:4	NT=Oxidation;MT=variable;TA=M;AC=UNIMOD:35	NT=Acetyl;AC=UNIMOD:1;TA=K;MT=variable	NT=Phospho;MT=variable;TA=S,T,Y;AC=UNIMOD:21	NT=Deamidated;MT=variable;TA=N;AC=UNIMOD:7	600 ppm	20 ppm	Control	0
