source name	characteristics[organism]	characteristics[organism part]	characteristics[cell type]	characteristics[cell line]	characteristics[developmental stage]	characteristics[disease]	characteristics[ancestry category]	characteristics[sex]	characteristics[age]	characteristics[biological replicate]	material type	assay name	technology type	comment[data file]	comment[file uri]	comment[technical replicate]	comment[fraction identifier]	comment[label]	comment[cleavage agent details]	comment[instrument]	comment[modification parameters]	comment[modification parameters]	comment[dissociation method]	comment[precursor mass tolerance]	comment[fragment mass tolerance]	factor value[cell line]
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 1	proteomic profiling by mass spectrometry	A375_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 2	proteomic profiling by mass spectrometry	A375_F2.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F2.raw	1	2	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 3	proteomic profiling by mass spectrometry	A375_F3.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F3.raw	1	3	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 4	proteomic profiling by mass spectrometry	A375_F4.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F4.raw	1	4	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 5	proteomic profiling by mass spectrometry	A375_F5.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F5.raw	1	5	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 6	proteomic profiling by mass spectrometry	A375_F6.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F6.raw	1	6	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 7	proteomic profiling by mass spectrometry	A375_F7.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F7.raw	1	7	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 8	proteomic profiling by mass spectrometry	A375_F8.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F8.raw	1	8	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 1	Homo sapiens	skin	epithelial	A375	adult	malignant melanoma	not available	female	54Y	1	cell	run 9	proteomic profiling by mass spectrometry	A375_F9.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/A375_F9.raw	1	9	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	A375
Sample 2	Homo sapiens	skin	epithelial	C32TG	adult	amelanotic melanoma	Caucasian	male	53Y	1	cell	run 10	proteomic profiling by mass spectrometry	C32TG_F1.raw	https://ftp.pride.ebi.ac.uk/pride/data/archive/2018/10/PXD005539/C32TG_F1.raw	1	1	AC=MS:1002038;NT=label free sample	AC=MS:1001251;NT=Trypsin	NT= LTQ Orbitrap Elite;AC=MS:1001910	NT=Oxidation;MT=Variable;TA=M;AC=UNIMOD:35	NT=Carbamidomethyl;TA=C;MT=Variable;AC=UNIMOD:4	NT=collision-induced dissociation;AC=MS:1000133	10 ppm	0.60 Da	C32TG
